name,pos,prediction,confidence_score
Jacob Ramsey,MID,1:no,0.763
Leon Bailey,MID,1:no,0.995
Carney Chukwuemeka,MID,1:no,1
Tim Iroegbunam,MID,1:no,1
Philippe Coutinho Correia,MID,1:no,0.641
Christian Nørgaard,MID,1:no,0.928
Tariqe Fosu-Henry,MID,1:no,0.999
Vitaly Janelt,MID,2:return,0.732
Saman Ghoddos,MID,1:no,1
Mathias Jensen,MID,1:no,0.998
Bryan Mbeumo,MID,2:return,0.989
Shandon Baptiste,MID,1:no,0.999
Yoane Wissa,MID,1:no,0.652
Christian Eriksen,MID,2:return,0.691
Adam Lallana,MID,1:no,1
Pascal Groß,MID,1:no,0.962
Solomon March,MID,1:no,0.95
Alexis Mac Allister,MID,1:no,0.983
Enock Mwepu,MID,1:no,0.946
Jeremy Sarmiento,MID,1:no,1
Jack Cork,MID,1:no,1
Dale Stephens,MID,1:no,1
Josh Brownhill,MID,1:no,0.74
Dwight McNeil,MID,1:no,0.974
Aaron Lennon,MID,1:no,0.997
Maxwel Cornet,MID,2:return,0.95
Jorge Luiz Frello Filho,MID,1:no,1
Jorge Luiz Frello Filho,MID,1:no,1
Ross Barkley,MID,1:no,0.999
Ross Barkley,MID,1:no,0.999
NGolo Kanté,MID,1:no,0.909
NGolo Kanté,MID,1:no,0.931
Hakim Ziyech,MID,1:no,0.932
Hakim Ziyech,MID,1:no,0.949
Ruben Loftus-Cheek,MID,1:no,0.983
Ruben Loftus-Cheek,MID,1:no,0.987
Christian Pulisic,MID,1:no,0.996
Christian Pulisic,MID,1:no,0.997
Mason Mount,MID,2:return,0.926
Mason Mount,MID,2:return,0.903
Kai Havertz,MID,2:return,0.949
Kai Havertz,MID,2:return,0.932
Saúl Ñíguez,MID,1:no,1
Saúl Ñíguez,MID,1:no,1
Conor Gallagher,MID,1:no,1
James McArthur,MID,1:no,0.997
Wilfried Zaha,MID,2:return,0.94
Jeffrey Schlupp,MID,1:no,0.951
Jairo Riedewald,MID,1:no,1
Eberechi Eze,MID,1:no,1
Will Hughes,MID,1:no,1
Michael Olise,MID,1:no,0.998
Jesurun Rak-Sakyi,MID,1:no,1
Anwar El Ghazi,MID,1:no,1
Fabian Delph,MID,1:no,1
Allan Marques Loureiro,MID,1:no,1
André Filipe Tavares Gomes,MID,1:no,1
Abdoulaye Doucouré,MID,1:no,1
Alex Iwobi,MID,1:no,0.991
Donny van de Beek,MID,1:no,1
Bamidele Alli,MID,1:no,1
Demarai Gray,MID,1:no,0.987
Anthony Gordon,MID,1:no,0.735
Tyler Onyango,MID,1:no,1
Marc Albrighton,MID,1:no,0.998
Nampalys Mendy,MID,1:no,1
Youri Tielemans,MID,1:no,0.983
Ayoze Pérez,MID,1:no,0.999
James Maddison,MID,2:return,0.847
Hamza Choudhury,MID,1:no,1
Harvey Barnes,MID,1:no,0.739
Kiernan Dewsbury-Hall,MID,1:no,0.618
Ademola Lookman,MID,1:no,0.902
Mateusz Klich,MID,1:no,0.99
Stuart Dallas,MID,1:no,0.94
Kalvin Phillips,MID,1:no,1
Raphael Dias Belloli,MID,2:return,0.863
Jack Harrison,MID,2:return,0.976
Daniel James,MID,2:return,0.668
Crysencio Summerville,MID,1:no,1
Liam McCarron,MID,1:no,1
Stuart McKinstry,MID,1:no,1
Lewis Bate,MID,1:no,1
James Milner,MID,1:no,1
Jordan Henderson,MID,1:no,0.993
Thiago Alcántara do Nascimento,MID,1:no,0.65
Alex Oxlade-Chamberlain,MID,1:no,0.997
Sadio Mané,MID,2:return,0.835
Fabio Henrique Tavares,MID,1:no,0.771
Mohamed Salah,MID,2:return,0.993
Takumi Minamino,MID,1:no,0.997
Naby Keita,MID,1:no,0.999
Diogo Jota,MID,2:return,0.994
Curtis Jones,MID,1:no,0.997
Harvey Elliott,MID,1:no,0.997
Tyler Morton,MID,1:no,1
Kaide Gordon,MID,1:no,0.996
Luis Díaz,MID,1:no,0.715
Jack Grealish,MID,1:no,0.661
Ilkay Gündogan,MID,1:no,0.627
Kevin De Bruyne,MID,2:return,0.992
Riyad Mahrez,MID,2:return,0.87
Raheem Sterling,MID,2:return,0.508
Bernardo Mota Veiga de Carvalho e Silva,MID,2:return,0.71
Phil Foden,MID,2:return,0.702
Rodrigo Hernandez,MID,1:no,0.971
Fernando Luiz Rosa,MID,1:no,0.996
Cole Palmer,MID,1:no,0.999
James McAtee,MID,1:no,0.999
Nemanja Matic,MID,1:no,1
Nemanja Matic,MID,1:no,1
Jesse Lingard,MID,1:no,0.994
Jesse Lingard,MID,1:no,0.991
Bruno Miguel Borges Fernandes,MID,1:no,0.893
Bruno Miguel Borges Fernandes,MID,1:no,0.86
Marcus Rashford,MID,1:no,0.998
Marcus Rashford,MID,1:no,0.997
Scott McTominay,MID,1:no,1
Scott McTominay,MID,1:no,1
Juan Mata,MID,1:no,0.999
Juan Mata,MID,1:no,0.999
Jadon Sancho,MID,1:no,0.888
Jadon Sancho,MID,1:no,0.854
Anthony Elanga,MID,1:no,0.895
Anthony Elanga,MID,1:no,0.863
Hannibal Mejbri,MID,1:no,1
Hannibal Mejbri,MID,1:no,1
Joseph Willock,MID,1:no,0.996
Jonjo Shelvey,MID,1:no,0.978
Jacob Murphy,MID,1:no,1
Miguel Almirón,MID,1:no,0.731
Sean Longstaff,MID,1:no,1
Billy Gilmour,MID,1:no,0.996
Kenny McLean,MID,1:no,0.595
Kieran Dowell,MID,1:no,0.752
Przemyslaw Placheta,MID,1:no,1
Milot Rashica,MID,1:no,0.951
Pierre Lees-Melou,MID,1:no,0.902
Christos Tzolis,MID,1:no,1
Mathias Normann,MID,1:no,0.932
Jonathan Rowe,MID,1:no,0.999
Theo Walcott,MID,1:no,1
Oriol Romeu Vidal,MID,1:no,0.974
Nathan Redmond,MID,1:no,1
Stuart Armstrong,MID,1:no,0.962
James Ward-Prowse,MID,1:no,0.566
Nathan Tella,MID,1:no,1
William Smallbone,MID,1:no,1
Ibrahima Diallo,MID,1:no,1
Moussa Djenepo,MID,1:no,1
Mohamed Elyounoussi,MID,1:no,0.713
Heung-Min Son,MID,2:return,0.995
Lucas Rodrigues Moura da Silva,MID,1:no,0.999
Pierre-Emile Højbjerg,MID,1:no,0.948
Harry Winks,MID,1:no,1
Steven Bergwijn,MID,1:no,0.993
Dejan Kulusevski,MID,2:return,0.846
Rodrigo Bentancur,MID,1:no,0.996
Moussa Sissoko,MID,1:no,0.947
Dan Gosling,MID,1:no,1
Tom Cleverley,MID,1:no,1
Ken Sema,MID,1:no,1
Ismaila Sarr,MID,1:no,0.994
Imrân Louza,MID,1:no,0.989
Oghenekaro Peter Etebo,MID,1:no,1
Juraj Kucka,MID,1:no,0.974
Edo Kayembe,MID,1:no,1
Mark Noble,MID,1:no,1
Andriy Yarmolenko,MID,1:no,1
Manuel Lanzini,MID,1:no,0.999
Saïd Benrahma,MID,1:no,0.592
Jarrod Bowen,MID,1:no,0.892
Declan Rice,MID,1:no,0.975
Tomas Soucek,MID,1:no,0.979
Pablo Fornals,MID,1:no,0.978
Nikola Vlasic,MID,1:no,0.999
Alex Kral,MID,1:no,1
Sonny Perkins,MID,1:no,1
João Filipe Iria Santos Moutinho,MID,1:no,0.958
Leander Dendoncker,MID,1:no,0.997
Daniel Castelo Podence,MID,1:no,0.761
Pedro Lomba Neto,MID,1:no,1
Francisco Machado Mota de Castro Trincão,MID,1:no,0.793
Luke Cundle,MID,1:no,1
Alexandre Lacazette,FWD,1:no,0.992
Edward Nketiah,FWD,2:return,0.594
Ollie Watkins,FWD,2:return,0.79
Danny Ings,FWD,1:no,0.737
Ivan Toney,FWD,2:return,0.898
Neal Maupay,FWD,1:no,0.982
Danny Welbeck,FWD,1:no,0.854
Jay Rodriguez,FWD,2:return,0.79
Ashley Barnes,FWD,1:no,0.998
Matej Vydra,FWD,1:no,0.98
Lewis Richardson,FWD,1:no,0.998
Wout Weghorst,FWD,2:return,0.586
Timo Werner,FWD,2:return,0.903
Timo Werner,FWD,2:return,0.857
Romelu Lukaku,FWD,1:no,0.992
Romelu Lukaku,FWD,1:no,0.995
Christian Benteke,FWD,1:no,0.998
Jordan Ayew,FWD,1:no,0.958
Jean-Philippe Mateta,FWD,1:no,0.93
Odsonne Edouard,FWD,1:no,0.992
