influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
33.8,13.8,102,15,TRUE,0.382833153,0.127143309,0.431402,2,0.75,7
97,1.8,97,19.6,TRUE,1.074063778,0,1.1633,3,1.25,17
3.2,2.8,10,1.6,TRUE,0,0,1.20507,1,5,1
4.4,1.6,2,0.8,TRUE,0,0,2.40056,10,6,2
10,16.6,38,6.5,TRUE,0.420784116,0.092435934,0.563886,2,6.75,5
7.6,3.9,2,1.4,TRUE,0,0,0.453851,6,0.5,2
5.6,14.1,0,2,TRUE,0,0.01660019,1.75184,8,2.5,2
16.2,14.6,4,3.5,FALSE,0,0.025777275,1.97034,2,3.25,5
2.8,7.5,8,1.8,TRUE,0,0,2.05844,4,3,2
37.2,6.8,98,14.2,TRUE,1.361604452,0,0.71711,1,1,8
2.4,15.3,10,2.8,FALSE,0.082585953,0.176836491,0.775297,4,6.25,5
19,27.5,21,6.8,FALSE,0.102394029,0.097726576,0.879594,2,2.25,1
1.6,23,18,4.3,TRUE,0.06446743,0.10697376,1.08519,7,5.5,2
4.4,3.2,21,2.9,FALSE,0.080235086,0,0.475162,3,0.5,2
0,4.3,24,2.5,TRUE,0.140071541,0,1.03658,4,3.25,2
35,27.2,59,12.1,FALSE,0.244017631,0.395994723,0.924575,6,2.75,6
36,14.8,43,9.4,TRUE,0.68552959,0.043163251,1.08519,7,2,7
14.6,27.8,21,6.3,FALSE,0.02908377,0.417659789,0.846748,1,3.75,2
8.8,32.3,65,10.6,TRUE,0.46772927,0.355153859,1.7066,2,4,2
54.4,26.4,186,26.7,TRUE,2.547502279,0.170708403,2.06831,10,4,6
32,3.6,45,8.1,FALSE,0.236023203,0,1.11195,5,4,7
6.2,3.1,60,6.9,FALSE,0.586037874,0,1.65178,1,1,2
56.2,16.4,32,10.5,TRUE,0.231358424,0.385177314,0.223429,3,3.25,12
38.4,15.1,17,7.1,FALSE,0.316522717,0,3.07794,8,2.75,6
33.6,4.3,58,9.6,TRUE,1.52487886,0,1.77566,9,3,6
4.4,15.9,13,3.3,FALSE,0.091078162,0.077281505,0.352672,4,4.25,2
6.4,3.2,17,2.7,TRUE,0.140442431,0,0.789388,7,4.25,2
24.8,36,109,17,TRUE,0.452065021,0.216819495,0.80924,5,1.5,2
11.2,16.5,29,5.7,TRUE,0.15252085,0.020270249,1.00264,2,3.75,2
2.2,1.6,2,0.6,FALSE,0,0,1.24743,1,1.25,2
