influence,creativity,threat,ict_index,was_home,xG,xA,xGC,fixture,form,total_points
5.8,0,0,0.6,1,0,0,0.11445,3,1.5,2
11.6,0,0,1.2,1,0,0,0.769974,6,3,1
21.4,0,0,2.1,1,0,0,0.641058,2,4,7
5,0,0,0.5,0,0,0,0.197925,1,3,6
57.2,0,0,5.7,0,0,0,2.38009,9,3.5,3
13.4,0,0,1.3,0,0,0,0.693376,3,2,1
10,0,0,1,1,0,0,0.202159,4,3,7
10.6,0,0,1.1,1,0,0,0.672883,5,1.75,6
9,0,0,0.9,1,0,0,0.800222,10,6,2
14.2,0,0,1.4,0,0,0,0.720883,4,3.25,2
10.6,0,0,1.1,0,0,0,0.152385,6,2,7
3.2,0,0,0.3,0,0,0,1.21279,2,1.75,2
29.4,0,0,2.9,1,0,0,0.743596,4,2.75,8
42,0,0,4.2,0,0,0,1.70366,7,0,3
41.6,0,0,4.2,1,0,0,0.789939,9,2,4
32.4,0,0,3.2,0,0,0,1.89002,10,4.25,1
13.6,0,0,1.4,0,0,0,1.22573,10,3,1
1.4,0,0,0.1,0,0,0,1.59037,2,4,2
23.6,10,0,3.4,1,0,0.041096013,0.82885,1,3.5,9
17.6,0,0,1.8,1,0,0,2.01134,10,1.75,1
3.6,0,0,0.4,1,0,0,0.816172,6,5,2
8.6,0,0,0.9,0,0,0,1.40104,2,4,1
19.6,0,0,2,1,0,0,0.808013,7,4.25,1
35.8,0,0,3.6,1,0,0,2.48022,9,0.75,2
22,0,0,2.2,1,0,0,1.1216,2,2.5,3
5.6,0,0,0.6,0,0,0,1.3049,9,4.5,6
13.8,0,0,1.4,1,0,0,0.933851,3,2.75,1
5.6,0,0,0.6,0,0,0,0.3746,6,4.75,6
17.8,0,0,1.8,1,0,0,0.337194,4,5.5,6
61.2,0,0,6.1,0,0,0,3.68186,6,2,10
24.4,0,0,2.4,0,0,0,1.98818,2,2.5,2
10.2,0,0,1,0,0,0,0.966335,9,1.5,1
10.2,0,0,1,1,0,0,2.17004,5,3.5,1
17.4,0,0,1.7,0,0,0,1.09037,1,5,2
33.2,0,0,3.3,0,0,0,1.64328,10,2.5,2
15.2,0,0,1.5,1,0,0,0.839989,7,4.5,2
22.2,0,0,2.2,1,0,0,1.18742,3,1.25,10
29,0,0,2.9,0,0,0,2.32174,5,2.75,2
29.6,0,0,3,1,0,0,1.95538,10,5.25,2
23,0,0,2.3,0,0,0,1.00816,6,2.5,2
38.2,0,0,3.8,0,0,0,1.03287,1,1.25,10
6.6,0,0,0.7,1,0,0,0.190648,2,4.5,7
25.8,0,0,2.6,1,0,0,1.94116,9,5.5,3
17.4,0,0,1.7,0,0,0,3.21624,9,0,2
17.2,0,0,1.7,0,0,0,0.268815,2,4,6
6,0,0,0.6,1,0,0,1.39142,1,2.5,2
27.8,0,0,2.8,0,0,0,0.613743,7,3.75,4
45.4,0,0,4.5,0,0,0,2.47977,5,1.5,10
45.6,0,0,4.6,0,0,0,2.65838,10,3.25,3
12.6,0,0,1.3,1,0,0,1.08385,5,5.75,2
6.6,0,0,0.7,0,0,0,0.778704,2,3,1
5.2,0,0,0.5,1,0,0,0.200297,6,4.25,6
14,0,0,1.4,1,0,0,2.06307,6,2.75,6
16.4,0,0,1.6,0,0,0,0.44677,3,2.75,8
70.6,0,0,7.1,0,0,0,1.95828,2,4.75,5
19,0,0,1.9,1,0,0,1.36671,4,2.5,6
47,0,0,4.7,0,0,0,1.97444,5,4,3
8.4,0,0,0.8,1,0,0,0.748206,1,3.75,6
34,0,0,3.4,1,0,0,2.36346,10,3.5,2
70.8,0,0,7.1,0,0,0,3.16805,10,5.5,5
10.8,0,0,1.1,0,0,0,0.738497,8,4.5,1
33,0,0,3.3,0,0,0,2.16023,8,3,2
23.2,0,0,2.3,1,0,0,0.589122,7,4,3
9.4,0,0,0.9,1,0,0,1.73055,4,2.75,2
43.6,0,0,4.4,0,0,0,0.929134,5,5.25,3
30,0,0,3,1,0,0,0.7012,1,3,7
14.6,0,0,1.5,0,0,0,0.348885,3,4.5,2
33.8,0,0,3.4,1,0,0,2.2242,10,5,2
13.8,0,0,1.4,1,0,0,1.17275,4,4,6
30,0,0,3,0,0,0,3.34327,7,4.5,2
28.6,0,0,2.9,0,0,0,1.36933,10,3,6
4.4,0,0,0.4,1,0,0,0.358364,2,0,2
3.8,0,0,0.4,1,0,0,0.307666,3,1,5
45.6,0,0,4.6,0,0,0,2.01721,6,3,7
14,10,0,2.4,1,0,0.02072476,0.369968,2,2.5,6
31.6,0,0,3.2,1,0,0,1.6943,8,5.5,3
16.4,0,0,1.6,0,0,0,2.64597,7,4,1
17.8,0,0,1.8,1,0,0,1.02225,9,3.25,1
39.2,0,0,3.9,0,0,0,1.20573,5,5,3
21.8,0,0,2.2,0,0,0,0.977316,1,0,7
25.4,0,0,2.5,0,0,0,0.684683,1,5.25,7
24.4,10,0,3.4,1,0,0.027925573,0.44226,8,3.5,7
11.4,0,0,1.1,0,0,0,0.616753,7,0.5,6
18.6,0,0,1.9,0,0,0,1.14121,1,2,1
3.2,0,0,0.3,1,0,0,0.132913,10,3.75,6
5.2,0,0,0.5,1,0,0,2.74188,9,4.25,1
8.8,0,0,0.9,1,0,0,0.211502,6,3.5,6
6.8,0,0,0.7,1,0,0,1.42815,5,3.75,1
17.4,0,0,1.7,0,0,0,1.67894,4,3.75,1
21.6,0,0,2.2,1,0,0,1.17696,2,2,2
35.4,0,0,3.5,0,0,0,1.22039,2,5.25,4
42.4,0,0,4.2,0,0,0,1.67352,7,4.5,2
1.6,0,0,0.2,1,0,0,0.467725,5,3.5,1
1.4,0,0,0.1,1,0,0,0.104476,7,0,6
33.8,0,0,3.4,0,0,0,1.41537,9,3.75,11
20.8,0,0,2.1,0,0,0,1.4438,10,4,1
10.8,0,0,1.1,0,0,0,0.321722,4,5,6
28.6,0,0,2.9,0,0,0,0.475636,3,0,2
11.8,0,0,1.2,0,0,0,0.825839,1,3,2
29.2,0,0,2.9,0,0,0,0.410203,8,3.75,3
17.8,0,0,1.8,1,0,0,1.69454,4,3.75,9
31.2,0,0,3.1,1,0,0,2.24747,8,4.25,2
22,0,0,2.2,1,0,0,1.00589,10,3,3
27.4,0,0,2.7,0,0,0,1.35509,4,1.5,7
22,0,0,2.2,1,0,0,0.775713,3,5.75,3
6.8,0,0,0.7,1,0,0,0.472435,2,2.75,6
35.2,0,0,3.5,1,0,0,0.589537,8,4.5,8
30.4,0,0,3,1,0,0,1.53094,6,2.25,3
30.2,0,0,3,0,0,0,0.809101,6,3,9
32,0,0,3.2,0,0,0,1.99224,8,4.5,3
34.2,0,0,3.4,0,0,0,0.633469,4,4.25,7
9.4,0,0,0.9,1,0,0,1.38569,3,3.25,1
21,0,0,2.1,0,0,0,1.17715,1,1.75,2
37.2,0,0,3.7,1,0,0,0.451017,10,3.25,10
14.4,0,0,1.4,0,0,0,1.03986,8,6.5,1
65.6,0,0,6.6,0,0,0,1.03986,9,3.75,16
13,0,0,1.3,1,0,0,1.35954,8,6,1
33,0,0,3.3,0,0,0,2.21043,5,6.5,3
7.2,0,0,0.7,0,0,0,1.30668,6,2.25,1
38.2,10,0,4.8,0,0,0.289589554,1.21734,2,2.25,9
42.8,0,0,4.3,1,0,0,0.512433,2,3.5,11
14.6,0,0,1.5,1,0,0,0.270186,7,4.75,6
8.6,0,0,0.9,1,0,0,0.82853,6,4.5,1
48.4,0,0,4.8,0,0,0,2.69837,9,1.75,2
14.2,0,0,1.4,1,0,0,0.241571,4,0.75,6
44.2,0,0,4.4,1,0,0,3.28962,9,5.75,2
10,0,0,1,1,0,0,0.45805,8,6.25,6
29.6,0,0,3,0,0,0,0.725721,5,4.75,3
18.8,0,0,1.9,1,0,0,2.63639,8,2.5,0
2,0,0,0.2,1,0,0,2.63639,3,3.75,1
95.4,0,0,9.5,0,0,0,3.83905,8,3.75,5
39.8,0,0,4,1,0,0,2.64912,10,6.25,1
22.2,0,0,2.2,0,0,0,1.03765,1,5.5,8
55.4,0,0,5.5,0,0,0,1.66533,7,0,16
29.2,10,0,3.9,0,0,0.036216319,1.5499,6,3,2
5.6,10,0,1.6,1,0,0.02102272,0.518148,2,2,6
6,0,0,0.6,1,0,0,0.387741,6,3,2
1.6,0,0,0.2,0,0,0,1.70802,3,6.25,2
10,0,0,1,1,0,0,0.983464,4,6.25,2
19.8,0,0,2,0,0,0,0.812723,2,4,3
39.8,0,0,4,0,0,0,1.3554,7,2.5,10
14,0,0,1.4,0,0,0,2.73947,10,4.5,1
14,0,0,1.4,1,0,0,0.87072,6,5.75,3
15,0,0,1.5,1,0,0,1.67299,5,3,1
1,0,0,0.1,0,0,0,1.0386,8,3,1
18,0,0,1.8,0,0,0,0.826124,2,3.25,6
29.2,0,0,2.9,1,0,0,1.85479,2,5.25,1
8,0,0,0.8,0,0,0,1.01013,8,0,2
35,0,0,3.5,1,0,0,1.88688,9,0.75,2
0.6,0,0,0.1,0,0,0,1.89219,8,2.75,0
17.8,0,0,1.8,0,0,0,1.01771,4,2.75,6
38.2,0,0,3.8,1,0,0,2.84526,7,4,3
43.6,0,0,4.4,0,0,0,2.76916,9,4.25,2
38.6,0,0,3.9,1,0,0,2.19035,10,4.25,2
14.8,0,0,1.5,1,0,0,0.907116,2,2.75,2
13.6,0,0,1.4,0,0,0,1.94229,6,3.75,0
16.8,0,0,1.7,1,0,0,0.389672,6,0.5,6
9.8,0,0,1,0,0,0,1.74506,2,1,1
26.4,0,0,2.6,1,0,0,0.490661,3,2.5,7
12.8,0,0,1.3,1,0,0,0.960821,1,3.5,6
51.8,10,0,6.2,0,0,0.161428198,2.52591,10,2.5,4
30.8,0,0,3.1,0,0,0,2.15218,7,4,3
24.8,0,0,2.5,0,0,0,1.98503,5,1.5,2
48.2,0,0,4.8,1,0,0,2.97877,7,1.25,3
32.2,0,0,3.2,0,0,0,1.11096,3,2,3
14.4,0,0,1.4,1,0,0,0.286966,5,0.75,2
3.2,0,0,0.3,0,0,0,0.693818,5,3.75,6
14.6,0,0,1.5,0,0,0,0.361508,1,4.5,2
19,0,0,1.9,1,0,0,1.7887,4,3.25,1
14,0,0,1.4,1,0,0,0.270862,6,0,2
6,0,0,0.6,1,0,0,2.57704,9,3.25,1
26.4,0,0,2.6,1,0,0,0.776105,2,1.75,7
11.4,10,0,2.1,1,0,0.027368702,0.852603,1,1.5,2
58,0,0,5.8,0,0,0,1.69975,10,2.75,11
24.8,0,0,2.5,1,0,0,1.20043,4,1.25,3
6.6,0,0,0.7,0,0,0,0.446309,5,3.75,6
41.4,0,0,4.1,1,0,0,0.909513,9,4.25,9
