ID,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
6679,0.197333615,0.092187942,0.82521975,11,10.675,27.25,4.875,10,1,2.25,1,no
6680,0.079155033,0.026201189,1.1770935,20.85,4.45,24.75,5,8,0,5.5,1,no
6687,0.207301343,0.166041955,1.07517975,24.9,41.8,8.25,7.5,10,1,3.5,1,no
6688,0.008539506,0.027359933,1.14839275,8.15,13.4,4.25,2.575,7,1,1.75,1,no
6695,0,0,1.40689325,6.8,3.8,1,1.125,1,1,2.25,1,no
6696,0.096205261,0.088888765,0.71816775,27.55,13.775,18,5.925,9,0,6,1,no
6699,0.42822488,0.105097099,0.76808375,16.75,17.2,33.75,6.75,4,0,4,1,no
6706,0.026369287,0,2.371467,10.1,5.15,12,2.75,2,0,2,1,no
6716,0.425004475,0.320758134,1.842875,29.75,17.85,34,8.1,10,0,5.75,1,no
6721,0.161283288,0.228184287,1.31151175,13.1,17.9,17.5,4.875,4,1,2.5,1,no
6725,0.033609141,0.025060911,2.012877,16.75,9.925,10.75,3.75,5,1,2,1,no
6727,0.161881341,0.020869996,1.923676,14.65,11.65,12.5,3.875,5,1,2,1,no
6728,0.069778752,0.128648832,1.196989,4.85,13.6,8.5,2.7,5,0,1,1,no
6732,0,0,2.562925,3.2,0.4,0,0.35,10,0,1,1,no
6735,0.102542048,0.162587551,1.27990825,15,10.625,7.75,3.35,1,0,3.25,1,no
6741,0.390726212,0.298308748,1.842875,44.35,44.775,38.5,12.775,10,0,7,1,no
6742,0,0,1.69334,0,0,0,0,1,0,1,1,no
6745,0.002587802,0.020893769,1.30823725,3.5,3.725,1.75,0.875,7,0,1.25,1,no
6748,0.103352028,0.026201189,0.963006,13.45,4.875,32,5.025,9,1,4,1,no
6749,0.024945259,0.016191569,0.91608975,1.5,10.2,8.25,1.975,1,0,1,1,no
6758,0.008057096,0.046885581,1.699259,3.9,13.225,2.25,1.9,5,0,1.5,1,no
6760,0.048978377,0,1.06148475,1.05,0.725,8,0.9,1,0,1,1,no
6763,0.054891628,0.076768802,1.59125425,13.85,19.4,11,4.425,4,1,2.5,1,no
