,season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
27,2016-17,Christian Benteke,FWD,,0,0,0,0,0,213,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,80353,4,3,0,0,0,0,0,75,FALSE,0,1
28,2016-17,Christian Fuchs,DEF,,0,0,17,0,13.8,168,4,2,0,5.6,25.4,2016-08-13T11:30:00Z,90,7,Hull,0,0,0,0,1,0,418306,1,2,17,0,0,0,0,55,FALSE,1,1
29,2016-17,Chris Smalling,DEF,,0,0,0,0,0,244,9,0,0,0,0,2016-08-14T12:30:00Z,0,2,Bournemouth,0,0,0,0,1,0,47027,3,1,0,0,0,0,0,60,FALSE,0,1
30,2016-17,Connor Wickham,FWD,,0,0,1,0,8.3,122,2,1,0,1.7,0,2016-08-13T14:00:00Z,90,19,West Bromwich Albion,0,0,0,0,1,0,43933,1,0,13,2,0,0,0,60,TRUE,0,1
31,2016-17,Craig Dawson,DEF,,0,0,18,1,20,433,2,0,0,4.6,18,2016-08-13T14:00:00Z,90,5,Crystal Palace,0,0,0,0,1,0,98602,1,0,8,5,0,0,0,50,FALSE,1,1
32,2016-17,Cédric Soares,DEF,,0,0,9,0,3.5,301,7,1,0,3,12.6,2016-08-13T14:00:00Z,78,18,Watford,0,0,0,0,1,0,33568,1,1,14,2,0,0,0,50,TRUE,0,1
33,2016-17,César Azpilicueta,DEF,,1,1,24,0,15.8,77,10,1,0,3.4,12,2016-08-15T19:00:00Z,90,20,West Ham,0,0,0,0,1,0,401274,1,2,6,5,0,0,0,60,TRUE,1,1
34,2016-17,Daniel Amartey,DEF,,0,0,6,0,10.5,182,4,0,0,1.9,8,2016-08-13T11:30:00Z,23,7,Hull,0,0,0,0,1,0,2315,1,2,0,1,0,0,0,45,FALSE,0,1
35,2016-17,Danny Ings,FWD,,0,0,0,0,0,216,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,23069,4,3,0,0,0,0,0,60,FALSE,0,1
36,2016-17,Danny Rose,DEF,,0,0,9,0,4.9,383,3,1,0,5,15,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,231927,1,1,30,2,0,0,0,60,FALSE,0,1
37,2016-17,Danny Welbeck,FWD,,0,0,0,0,0,26,8,0,0,0,0,2016-08-14T15:00:00Z,0,9,Liverpool,0,0,0,0,1,0,2706,4,3,0,0,0,0,0,75,TRUE,0,1
38,2016-17,Darren Randolph,GK,,0,0,0,0,0,451,10,0,0,0,0,2016-08-15T19:00:00Z,0,4,Chelsea,0,0,0,0,1,0,24570,1,2,0,0,0,0,0,45,FALSE,0,1
39,2016-17,David de Gea,GK,,0,0,10,0,0,242,9,1,0,1.7,17.2,2016-08-14T12:30:00Z,90,2,Bournemouth,0,0,0,0,1,2,1392043,3,1,0,2,0,0,0,55,FALSE,0,1
40,2016-17,DeAndre Yedlin,DEF,,0,0,0,0,0,389,3,0,0,0,0,2016-08-13T14:00:00Z,0,6,Everton,0,0,0,0,1,0,18916,1,1,0,0,0,0,0,45,FALSE,0,1
41,2016-17,Demarai Gray,MID,,1,0,16,0,2.9,181,4,2,0,2.2,1.6,2016-08-13T11:30:00Z,67,7,Hull,0,0,0,0,1,0,19681,1,2,17,5,0,0,0,50,FALSE,0,1
42,2016-17,Divock Origi,FWD,,0,0,1,0,10.5,217,8,0,0,1.4,3.2,2016-08-14T15:00:00Z,15,1,Arsenal,0,0,0,0,1,0,205220,4,3,0,1,0,0,0,70,FALSE,0,1
43,2016-17,Eric Bailly,DEF,,0,0,22,0,0.5,255,9,1,0,2.2,21.2,2016-08-14T12:30:00Z,90,2,Bournemouth,0,0,0,0,1,0,369096,3,1,0,2,0,0,0,55,FALSE,0,1
44,2016-17,Eric Dier,DEF,,0,0,8,0,1,390,3,1,0,1.4,13.4,2016-08-13T14:00:00Z,55,6,Everton,0,0,0,0,1,0,521940,1,1,0,1,0,0,0,55,FALSE,0,1
45,2016-17,Erik Lamela,MID,,0,2,26,0,9.4,393,3,1,1,8.7,39.6,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,279629,1,1,38,9,0,0,0,70,FALSE,0,1
46,2016-17,Erik Pieters,DEF,,0,0,15,0,21.3,321,6,1,0,3.8,16.6,2016-08-13T14:00:00Z,90,12,Middlesbrough,0,0,0,0,1,0,185596,1,1,0,2,0,0,0,45,FALSE,0,1
47,2016-17,Fabian Delph,MID,,0,0,2,0,3.1,227,5,1,0,0.5,0,2016-08-13T16:30:00Z,27,15,Sunderland,0,0,0,0,1,0,6568,1,2,2,1,0,0,0,50,TRUE,0,1
48,2016-17,Federico Fernández,DEF,,0,0,22,1,0.1,363,1,0,0,3.4,26.8,2016-08-13T14:00:00Z,90,3,Burnley,0,0,0,0,1,0,89495,1,0,7,5,0,0,0,45,FALSE,1,1
49,2016-17,Fernandinho,DEF,,0,0,17,0,6.8,233,5,1,0,2.5,18.6,2016-08-13T16:30:00Z,90,15,Sunderland,0,0,0,0,1,0,67683,1,2,0,2,0,0,0,55,TRUE,0,1
50,2016-17,Fraser Forster,GK,,0,0,7,0,0,294,7,1,0,0.2,2,2016-08-13T14:00:00Z,90,18,Watford,0,0,0,0,1,0,171065,1,1,0,2,0,0,0,50,TRUE,0,1
51,2016-17,Gary Cahill,DEF,,0,0,13,0,0.7,78,10,1,0,2.6,12.8,2016-08-15T19:00:00Z,90,20,West Ham,0,0,0,0,1,0,188678,1,2,12,2,0,0,0,60,TRUE,0,1
52,2016-17,Georginio Wijnaldum,MID,,1,0,23,0,24.1,485,8,3,0,5.6,22.4,2016-08-14T15:00:00Z,87,1,Arsenal,0,0,0,0,1,0,140125,4,3,9,5,0,0,0,80,FALSE,0,1
53,2016-17,Granit Xhaka,MID,,0,0,-5,0,4.8,24,8,0,0,0.2,0,2016-08-14T15:00:00Z,24,9,Liverpool,0,0,0,0,1,0,226601,4,3,0,0,0,0,0,55,TRUE,1,1
54,2016-17,Gylfi Sigurdsson,MID,,0,0,3,0,5.6,368,1,0,0,2.1,8.4,2016-08-13T14:00:00Z,31,3,Burnley,0,0,0,0,1,0,283252,1,0,7,1,0,0,0,75,FALSE,0,1
55,2016-17,Harrison Reed,MID,,0,0,0,0,0,307,7,0,0,0,0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,1998,1,1,0,0,0,0,0,45,TRUE,0,1
56,2016-17,Harry Kane,FWD,,0,0,5,0,15.3,403,3,1,0,1.9,0,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,618838,1,1,4,2,0,0,0,110,FALSE,0,1
57,2016-17,Harry Maguire,DEF,,0,0,0,0,0,153,4,0,0,0,0,2016-08-13T11:30:00Z,0,8,Leicester,0,0,0,0,1,0,491,1,2,0,0,0,0,0,45,TRUE,0,1
58,2016-17,Harry Winks,MID,,0,0,0,0,0,513,3,0,0,0,0,2016-08-13T14:00:00Z,0,6,Everton,0,0,0,0,1,0,0,1,1,0,0,0,0,0,45,FALSE,0,1
59,2016-17,Son Heung-Min,MID,,0,0,0,0,0,402,3,0,0,0,0,2016-08-13T14:00:00Z,0,6,Everton,0,0,0,0,1,0,1534,1,1,0,0,0,0,0,75,FALSE,0,1
60,2016-17,Hugo Lloris,GK,,0,0,10,0,0,380,3,1,0,2.5,25.2,2016-08-13T14:00:00Z,34,6,Everton,0,0,0,0,1,3,276062,1,1,0,2,0,0,0,55,FALSE,0,1
