influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
32.8,35.8,2,7.1,FALSE,0,0.129586652,2.54396,6,5.25,4
21.8,67.4,28,11.7,TRUE,0.816096425,0.37436974,1.2848,10,5,2
14.4,34.4,23,7.2,TRUE,0.119072214,0.110323578,2.96923,8,3.75,2
52,41,15,10.8,TRUE,0.072178029,0.285855293,1.476,2,8,9
16.2,25.3,10,5.2,FALSE,0.03798366,0.055227339,2.20073,4,2.5,2
15.8,2.5,0,1.8,FALSE,0,0,2.20073,4,2.25,2
10.2,47.3,17,7.5,FALSE,0.070513912,0.142062217,1.64985,7,4.25,2
5.2,20.3,0,2.6,TRUE,0,0.066938557,0.764357,7,6.5,3
2,5,2,0.9,FALSE,0,0,1.72919,7,3,1
43.2,39.5,35,11.8,TRUE,0.09612345,0.282432228,0.64998,5,3.25,7
9.4,15.9,3,2.8,FALSE,0.038301922,0.020418031,1.04894,8,3.75,2
3,20.7,62,8.6,TRUE,0.359741569,0.078486592,0.64998,5,3.25,2
14.8,29.3,9,5.3,TRUE,0.023025611,0.06613946,1.29401,4,2,2
63.2,82.3,31,17.7,TRUE,0.822768271,0.732795238,0.672058,1,6.5,13
47,29.8,29,10.6,TRUE,0.185356855,0.368300438,1.50059,4,1.75,9
4,7.2,2,1.3,FALSE,0,0,1.49271,2,0.25,2
20,32.6,14,6.7,TRUE,0.015465101,0.174894616,0.64998,5,4,2
23.8,46.8,8,7.9,TRUE,0.09587393,0.237711251,0.493941,1,1.5,6
46.6,12.3,9,6.8,TRUE,0.025374513,0.094334096,1.00194,6,1.75,8
20.8,39.4,25,8.5,TRUE,0.104096115,0.136163086,0.64998,5,4.5,2
7,27.3,28,6.2,FALSE,0.119872831,0.036560837,2.60583,5,4.5,2
22.4,42.6,0,6.5,TRUE,0,0.640322506,0.970372,9,1.25,2
12.8,2.2,2,1.7,FALSE,0,0,1.79134,9,1.25,2
