position,influence,creativity,threat,ict_index,minutes,was_home,xG,xA,xGC,Fixture,Form,total_points
DEF,35,2.9,0,3.8,90,FALSE,0,0,1.94078,10,3,0
DEF,13.2,0.4,10,2.4,90,TRUE,0.090358734,0,1.19585,10,2,2
DEF,8.4,1.5,13,2.3,90,FALSE,0.220825598,0,0.561215,2,1,1
DEF,5,0.3,0,0.5,90,TRUE,0,0,0.78196,6,1.5,1
DEF,8.4,2.8,2,1.3,90,FALSE,0,0,2.53396,10,1,1
DEF,24.8,0.4,0,2.5,90,FALSE,0,0,2.53396,10,1,1
DEF,30.4,0.6,0,3.1,90,TRUE,0,0,1.68738,10,3.333333333,2
DEF,15.6,0.5,0,1.6,90,TRUE,0,0,1.68738,10,4.333333333,1
DEF,15.6,15.1,1,3.2,90,TRUE,0.01031149,0.050491605,1.68802,9,0.666666667,5
DEF,14,4.3,0,1.8,90,FALSE,0,0,0.55976,1,6.333333333,5
DEF,10.8,12.2,8,3.1,90,FALSE,0.015469551,0.029063122,0.7197,2,0.333333333,2
DEF,19.4,42.3,24,8.6,90,TRUE,0.024759045,0.268713564,1.76706,5,1.666666667,0
DEF,22.4,7,1,3,90,FALSE,0.065674379,0,0.55976,1,6,5
DEF,27.4,1.2,17,4.6,90,TRUE,0.200987548,0,1.76706,5,1.333333333,2
DEF,24,13,4,4.1,90,TRUE,0,0.025279861,1.24012,6,1.666666667,2
DEF,26.4,0.3,2,2.9,90,FALSE,0,0,1.54877,7,1.666666667,2
DEF,21.6,5.5,2,2.9,90,FALSE,0,0,0.431559,4,2.333333333,2
DEF,28.2,1.3,0,3,90,FALSE,0,0,0.55976,1,4.666666667,8
DEF,5.8,0.1,0,0.6,90,TRUE,0,0,1.39421,9,0,1
DEF,18.8,3.6,4,2.6,90,FALSE,0,0,0.0942055,7,3,6
DEF,17.2,0.6,0,1.8,90,TRUE,0,0,1.39421,9,1,1
DEF,5.4,9.3,36,5.1,90,FALSE,0.193375349,0,0.55976,1,9.5,6
DEF,33,10.2,8,5.1,90,TRUE,0.07743112,0.021615198,0.575813,8,2.666666667,3
DEF,21.2,10.9,6,3.8,90,FALSE,0.413230628,0,0.0942055,7,2.333333333,9
DEF,68,0.1,33,10.1,90,FALSE,0.564166307,0,1.60429,4,0,15
DEF,23.6,15.4,0,3.9,90,FALSE,0,0.026641434,1.54877,7,0.333333333,2
DEF,16.6,0.2,2,1.9,90,FALSE,0,0,0.431559,4,2,1
DEF,37,36.8,6,8,90,TRUE,0,0.200786427,1.25065,2,1,10
DEF,23.2,0.3,20,4.4,90,TRUE,0.029365692,0,0.575813,8,0.666666667,2
DEF,11.4,1,8,2,90,TRUE,0.033402413,0,1.68802,9,0.333333333,6
DEF,19.8,0.3,6,2.6,90,TRUE,0,0,1.39421,9,1,1
DEF,46.2,17.1,23,8.6,90,TRUE,0.03325817,0.037278924,1.07471,3,2,9
DEF,27.8,2.1,0,3,90,FALSE,0,0,0.511462,8,2,2
DEF,25,0.1,0,2.5,90,TRUE,0,0,1.68802,9,1,7
DEF,13.2,10.4,60,8.4,90,FALSE,0.10414236,0.021240002,0.7197,2,1.333333333,1
DEF,10,1.7,6,1.8,90,FALSE,0,0,1.44452,8,1,1
DEF,24.6,0.3,0,2.5,90,FALSE,0,0,1.44452,8,1,2
DEF,10.8,0.3,4,1.5,90,FALSE,0,0,2.0478,5,3,1
DEF,16.8,0.2,2,1.9,90,TRUE,0,0,2.25698,9,2.25,1
DEF,19.2,0.1,0,1.9,90,FALSE,0,0,2.0478,5,3.5,0
DEF,19.6,25.3,2,4.7,90,TRUE,0,0.102070197,0.425252,1,0.75,0
DEF,7.8,18.6,13,3.9,90,FALSE,0.080127485,0.129703924,0.424457,2,3,2
DEF,21.6,43.9,2,6.8,90,TRUE,0,0.45918566,0.615174,7,1.75,8
DEF,22.8,1,2,2.6,90,TRUE,0,0,0.422568,10,6,2
DEF,4,19.9,14,3.8,90,TRUE,0.067308441,0.07803376,0.425252,1,0.75,1
DEF,20.2,0.3,9,3,90,TRUE,0.037919417,0,0.422568,10,5.666666667,1
DEF,10.8,0.3,22,3.3,90,FALSE,0.081221379,0,1.24948,10,1.5,2
DEF,6.4,15.7,1,2.3,90,FALSE,0.028611269,0.009923783,0.541915,2,1.75,6
DEF,28.2,0.6,0,2.9,90,TRUE,0,0.640899599,2.28156,4,1.75,0
DEF,38,38.2,25,10.1,90,FALSE,0.124988824,0.750194073,0.475642,3,2.25,6
DEF,18.8,0.4,0,1.9,90,TRUE,0,0,0.422568,10,5.5,2
DEF,58,0.2,53,11.1,90,FALSE,0.753313482,0,3.3955,3,0.25,6
DEF,16.6,19.4,19,5.5,90,TRUE,0.09099897,0.013764021,0.291073,1,3.75,6
DEF,11.2,0.8,18,3,90,FALSE,0.046893198,0,3.3955,3,1,0
DEF,21.2,14.8,0,3.6,90,FALSE,0,0.051210787,0.424457,2,3.25,1
DEF,22.8,12.9,19,5.5,90,FALSE,0.059394427,0.02457203,1.24948,10,2.75,1
DEF,20.4,27.2,6,5.4,90,TRUE,0.439652413,0.331586659,0.422568,10,8.333333333,2
DEF,25.2,1.6,0,2.7,90,TRUE,0,0,0.749388,5,2.75,2
DEF,20.6,28.2,0,4.9,90,TRUE,0,0.101552807,2.25698,9,2,0
DEF,10.6,25.3,6,4.2,90,TRUE,0.0344816,0.056391656,0.291073,1,4,7
DEF,38.2,13.9,8,6,90,FALSE,0,0.408765465,2.8697,8,3.75,1
DEF,29,11.6,4,4.5,90,TRUE,0,0,2.28156,4,0.75,3
DEF,60.2,10.8,2,7.3,90,FALSE,0,0.633205771,0.475642,3,1.75,6
DEF,13,11.4,9,3.3,90,FALSE,0.051871348,0.024898522,2.02461,9,3.25,1
DEF,14.4,0.5,0,1.5,90,FALSE,0,0,2.80562,7,0.75,2
DEF,30,12.2,2,4.4,90,TRUE,0,0.201605275,0.749388,5,1,2
DEF,15.6,8.5,8,3.2,90,TRUE,0,0,0.615174,7,1.75,6
DEF,25.4,20.4,24,7,90,FALSE,0.025296051,0.715604901,3.3955,3,1,3
DEF,15.6,27.2,20,6.3,90,FALSE,0.098580979,0.123226449,2.80562,7,3.75,2
DEF,19.6,0.8,4,2.4,90,TRUE,0,0,2.0491,6,2,1
DEF,18.8,21.4,24,6.4,90,TRUE,0.115117624,0.079552874,0.615174,7,2.5,7
DEF,10.2,0.1,0,1,90,TRUE,0,0,0.425252,1,1.25,4
DEF,14.2,11.2,0,2.5,90,TRUE,0,0.038538579,2.96923,8,1.5,0
DEF,22,7.3,0,2.9,90,TRUE,0,0,2.96923,8,0,0
DEF,35.6,0.8,21,5.7,90,FALSE,0.106655732,0,1.12929,4,2,1
DEF,20.2,32.3,0,5.3,90,FALSE,0,0.217068553,1.4282,1,0.75,0
DEF,15.4,0.9,9,2.5,90,TRUE,0.034330755,0,1.476,2,2.25,2
DEF,26.6,38.8,3,6.8,90,FALSE,0.009625031,0.144639328,2.20073,4,3.25,1
DEF,15.8,1.8,0,1.8,90,FALSE,0,0,2.24061,9,5.25,2
DEF,14.2,23.5,0,3.8,90,FALSE,0,0.049407087,1.4282,1,0.75,2
DEF,15.4,3,3,2.1,90,TRUE,0.023915969,0,0.0342109,3,0.75,6
DEF,14.8,0.3,2,1.7,90,FALSE,0,0,2.24061,9,4.5,2
DEF,33.8,21.2,2,5.7,90,TRUE,0,0.113650426,0.0342109,3,1.75,3
DEF,12.4,4.3,0,1.7,90,TRUE,0,0,0.773995,3,2.75,6
DEF,3.2,16,2,2.1,90,TRUE,0,0.070847973,1.2848,10,3.25,-1
DEF,12.8,0.8,7,2.1,90,FALSE,0.072876856,0,2.24061,9,5.5,0
DEF,12,3.3,7,2.2,90,TRUE,0.02904946,0,0.764357,7,0.5,6
DEF,49.4,0.3,35,8.5,90,TRUE,0.511546373,0,1.476,2,2.25,9
DEF,27.8,17.1,25,7,90,TRUE,0.061301276,0.03041888,0.0342109,3,1.5,7
DEF,26.4,28.2,0,5.5,90,FALSE,0,0.427761406,2.24061,9,6.75,6
DEF,28.6,0.8,0,2.9,90,FALSE,0,0,1.64985,7,3.25,1
DEF,24.8,5,10,4,90,FALSE,0,0,1.12929,4,2,1
DEF,23.2,34.9,4,6.2,90,FALSE,0.031602371,0.541018367,2.54396,6,4.75,0
DEF,51.8,0.5,54,10.6,90,TRUE,1.49339509,0,1.26532,9,4,7
DEF,13.8,5.3,2,2.1,90,FALSE,0,0,3.9767,10,1.5,0
DEF,18.4,3.3,6,2.8,90,TRUE,0.044807155,0,1.2848,10,3.25,0
DEF,22.6,65.8,16,10.4,90,TRUE,0.074540131,0.263572395,1.13791,5,3.25,1
DEF,20,0.3,0,2,90,FALSE,0,0,1.64985,7,1.5,2
DEF,5,15.6,27,4.8,90,FALSE,0.043720394,0.041807622,2.20073,4,3.25,1
DEF,16.6,0,2,1.9,90,TRUE,0,0,0.764357,7,1.25,6
DEF,31,10.7,6,4.8,90,FALSE,0.02292639,0.093070723,0.882486,5,1.75,4
DEF,42.2,0.7,9,5.2,90,FALSE,0.060174298,0,2.20073,4,4,1
DEF,13.8,0,29,4.3,90,FALSE,0.279167503,0,1.4282,1,2,1
DEF,26.6,5.7,1,3.3,90,FALSE,0.010573492,0,1.79134,9,1,1
DEF,24.6,0.3,4,2.9,90,TRUE,0.09979514,0,0.672058,1,0.25,6
DEF,15.4,29.3,20,6.5,90,TRUE,0.044587929,0.078803688,1.50059,4,0.75,1
DEF,18.2,0.1,0,1.8,90,FALSE,0,0,1.79134,9,1.25,1
DEF,18.2,0.8,4,2.3,90,FALSE,0,0,1.72919,7,3.25,2
DEF,25.6,10.3,21,5.7,90,TRUE,0.045229733,0,1.00194,6,0.75,4
DEF,28.8,0.8,0,3,90,FALSE,0,0,1.72919,7,2.5,2
DEF,28,0.8,0,2.9,90,TRUE,0,0,0.970372,9,0.25,1
DEF,19,39,4,6.2,90,FALSE,0.047486648,0.091949299,0.551109,10,3,1
DEF,25.6,25.4,0,5.1,90,TRUE,0,0.051101837,0.212574,6,3.75,9
DEF,2.8,1.8,1,0.6,90,TRUE,0.014614278,0,0.970372,9,1.25,2
DEF,25.6,15.7,2,4.3,90,FALSE,0,0.032725923,1.04894,8,2,1
DEF,9.8,0.8,24,3.5,90,TRUE,0.172979951,0,0.212574,6,3.5,6
DEF,19.8,18,6,4.4,90,FALSE,0,0.083157152,1.58027,8,4,1
DEF,25.6,1.1,0,2.7,90,TRUE,0,0,0.212574,6,4,7
DEF,27,12.3,13,5.2,90,TRUE,0.078696452,0.448015839,1.50059,4,0.5,4
DEF,17.6,2.8,12,3.2,90,TRUE,0.189304918,0,0.64998,5,3.5,1
DEF,13.4,25.9,1,4,90,FALSE,0.013385999,0.039420474,2.16649,2,2,1
DEF,12.4,4,2,1.8,90,FALSE,0,0,2.60583,5,0.75,0
DEF,21.4,10.3,0,3.2,90,FALSE,0,0.016366029,0.551109,10,4.5,2
DEF,31.2,24,0,5.5,90,FALSE,0,0.037226912,1.04894,8,2.5,1
DEF,11.8,5.5,1,1.8,90,TRUE,0.027595133,0,0.212574,6,6.75,6
DEF,35.6,0,0,3.6,90,TRUE,0,0,0.720341,10,2,7
DEF,38.4,32,6,7.6,90,TRUE,0,0.227979377,1.00194,6,0.25,4
DEF,18,0.1,21,3.9,90,TRUE,0.04847341,0,1.00194,6,0.75,1
DEF,7.8,16,6,3,90,TRUE,0.067091487,0.074715912,0.64998,5,4.5,1
DEF,34.4,12,26,7.2,90,FALSE,0.038508851,0.024722241,2.15178,3,5.75,1
DEF,11.2,17,1,2.9,90,TRUE,0.010392566,0.023129728,0.672058,1,1.25,6
DEF,20.6,25.7,20,6.6,90,FALSE,0.055433664,0.118821323,2.18185,3,3.5,1
DEF,32,0.3,53,8.5,90,TRUE,0.053777367,0,0.720341,10,2,8
DEF,8.6,0.5,10,1.9,90,FALSE,0,0,2.16649,2,2.75,0
DEF,7.6,1.6,4,1.3,90,FALSE,0,0,1.49271,2,3.25,1
DEF,18.2,1,4,2.3,90,FALSE,0,0,1.04894,8,0,2
DEF,29,0.8,0,3,90,TRUE,0,0,0.493941,1,4,9
DEF,19.2,0,0,1.9,90,TRUE,0,0,0.970372,9,1.75,1
DEF,8.2,7.2,18,3.3,90,TRUE,0.065792561,0,0.923353,3,0.75,6
DEF,16.6,0.8,0,1.7,90,TRUE,0,0,0.923353,3,1,6
DEF,9.6,0.3,23,3.3,90,TRUE,0.018264165,0,2.13526,9,3.25,0
DEF,9.8,15.1,10,3.5,90,FALSE,0,0,1.67016,5,1.5,1
DEF,20.6,0.1,0,2.1,90,TRUE,0,0,2.13526,9,2.5,1
DEF,26.4,9.1,0,3.6,90,FALSE,0,0,0.64118,6,0.25,2
DEF,26.2,13.9,4,4.4,90,FALSE,0,0.074096844,0.473979,1,4.5,8
DEF,10.6,1.7,0,1.2,90,FALSE,0,0,0.64118,6,1.75,2
DEF,17.8,10.8,11,4,90,FALSE,0.036127806,0.078172289,0.473979,1,3.5,6
DEF,8.6,6.2,0,1.5,90,FALSE,0,0,1.46034,7,1.5,1
DEF,15.8,29.3,7,5.2,90,FALSE,0.021741599,0.086602986,0.473979,1,5,7
DEF,18.4,11,0,2.9,90,FALSE,0,0.015909998,1.67016,5,1,2
DEF,11.6,0.3,0,1.2,90,FALSE,0,0.108426057,1.67016,5,0.75,2
DEF,34,30.8,2,6.7,90,FALSE,0,0.560832262,0.161583,1,4.25,10
DEF,30.6,1.1,0,3.2,90,TRUE,0,0,1.6751,5,6,8
DEF,17.8,25.9,24,6.8,90,TRUE,0.042072263,0.082451217,1.22459,10,3.25,2
DEF,14,12.3,21,4.7,90,TRUE,0.085842356,0.129405543,1.3508,8,0.75,-1
DEF,41.2,1.2,23,6.5,90,TRUE,0.371006668,0,1.3508,8,3.5,8
DEF,20.6,0.3,23,4.4,90,FALSE,0.048932225,0,0.64118,6,1.75,1
DEF,7.2,1.8,8,1.7,90,TRUE,0.015984539,0,1.13479,2,2,7
DEF,17.2,1.1,10,2.8,90,FALSE,0.097196139,0,1.71549,1,1.75,1
DEF,24.6,13.4,12,5,90,FALSE,0.038336176,0.044077363,1.92151,5,1.25,2
DEF,16.4,0.4,8,2.5,90,TRUE,0.016020659,0,1.13479,2,2.25,6
DEF,36.6,0.2,8,4.5,90,TRUE,0.064754814,0,0.602249,3,2.75,8
DEF,40.4,0.8,2,4.3,90,FALSE,0,0,1.50755,10,1.75,1
DEF,25.2,0.3,0,2.6,90,TRUE,0,0,0.602249,3,2.5,6
DEF,44.6,25.6,8,7.8,90,FALSE,0.026150867,0.405505061,2.518,4,0.75,4
DEF,30.6,28,4,6.3,90,FALSE,0,0.135891542,0.492912,6,2.25,2
DEF,35.8,22.3,1,5.9,90,FALSE,0.01814089,0.100686409,0.356331,4,5.25,12
DEF,47.4,1.3,19,6.8,90,FALSE,0.371971846,0,2.518,4,1.75,10
DEF,17,0.3,8,2.5,90,FALSE,0.075400628,0,0.356331,4,3.75,7
DEF,46,0.7,0,4.7,90,TRUE,0,0,1.17031,3,2,2
DEF,10.6,13.1,11,3.5,90,TRUE,0.072928004,0,1.25572,5,4.75,0
DEF,21.4,2.2,17,4.1,90,FALSE,0.056768786,0,0.356331,4,4,8
DEF,23.2,1,89,11.3,90,FALSE,0.22695753,0,1.92151,5,1,1
DEF,6.6,0.8,2,0.9,90,FALSE,0.057305571,0,1.5186,9,1.75,1
DEF,13.6,3.7,0,1.7,90,TRUE,0,0,0.81444,10,2,1
DEF,44.2,59.6,4,10.8,90,TRUE,0,0.256873459,1.17031,3,5,6
DEF,6.4,8,28,4.2,90,FALSE,0.167235583,0,0.356331,4,5.25,6
DEF,33.6,0.3,2,3.6,90,FALSE,0,0,0.600426,6,2.75,6
DEF,18.8,2.5,0,2.1,90,FALSE,0,0,1.50755,10,1.5,0
DEF,30.2,0.1,10,4,90,FALSE,0,0,1.50755,10,1.25,1
DEF,65.2,14.9,21,10.1,90,TRUE,0.075921476,0.059702575,1.69451,7,4.25,8
DEF,13.2,7,0,2,90,FALSE,0,0,1.71549,1,2.5,1
DEF,18.8,1.6,6,2.6,90,TRUE,0.012937995,0,0.609893,8,3,2
DEF,47.4,20,50,11.7,90,TRUE,0.663078427,0.049463637,1.07552,2,1.25,15
DEF,17.2,0.3,2,2,90,FALSE,0,0,0.600426,6,3.5,6
DEF,49.8,29.9,25,10.5,90,FALSE,0.062596202,0.161657199,0.492912,6,3.25,8
DEF,13.2,0.3,10,2.4,90,TRUE,0,0,0.81444,10,2.5,2
DEF,25.4,0.5,7,3.3,90,FALSE,0.020410959,0,0.492912,6,6.5,2
DEF,22.8,0.9,20,4.4,90,FALSE,0.025724454,0,2.518,4,1.75,1
DEF,20.6,11.7,0,3.2,90,FALSE,0,0.041895755,0.954864,3,3.5,2
DEF,14.2,10.6,10,3.5,90,TRUE,0.013213999,0,3.40585,5,2,0
DEF,6.4,5.6,0,1.2,90,TRUE,0,0,2.22237,9,1.5,1
DEF,18,0.1,0,1.8,90,FALSE,0,0,0.954864,3,3.25,2
DEF,14.2,0.2,0,1.4,90,FALSE,0,0,0.275704,3,4.5,2
DEF,12.4,0.4,6,1.9,90,TRUE,0,0,0.698814,1,1.75,6
DEF,27,0.3,0,2.7,90,FALSE,0,0,0.275704,3,4,2
