name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Tyler Onyango,MID,0.010572066,0,1.31533675,0,0,0,0,5,1,0,?
Marc Albrighton,MID,0.018199524,0.301864024,1.77277675,3.1,6.9,2,1.2,2,0,0.5,?
Marc Albrighton,MID,0.018199524,0.301864024,1.77277675,3.1,6.9,2,1.2,3,0,0.5,?
Nampalys Mendy,MID,0,0.006796473,1.77277675,8.75,4.825,0,1.35,2,0,2,?
Nampalys Mendy,MID,0,0.006796473,1.77277675,8.75,4.825,0,1.35,3,0,2,?
Youri Tielemans,MID,0.024269,0,1.77277675,12.7,2.55,6.5,2.2,2,0,1.25,?
Youri Tielemans,MID,0.024269,0,1.77277675,12.7,2.55,6.5,2.2,3,0,1.25,?
James Maddison,MID,0.116625339,0.345121197,1.77277675,29.45,45.55,12.25,8.725,2,0,6,?
James Maddison,MID,0.116625339,0.345121197,1.77277675,29.45,45.55,12.25,8.725,3,0,6,?
Hamza Choudhury,MID,0.005056706,0,1.77277675,0.25,0,0,0.025,2,0,0.25,?
Hamza Choudhury,MID,0.005056706,0,1.77277675,0.25,0,0,0.025,3,0,0.25,?
Harvey Barnes,MID,0.240429118,0.046628411,1.77277675,8.2,11.975,24.5,4.45,2,0,2.5,?
Harvey Barnes,MID,0.240429118,0.046628411,1.77277675,8.2,11.975,24.5,4.45,3,0,2.5,?
Kiernan Dewsbury-Hall,MID,0.080989899,0.120721288,1.77277675,23.4,17.55,14.5,5.575,2,0,4.75,?
Kiernan Dewsbury-Hall,MID,0.080989899,0.120721288,1.77277675,23.4,17.55,14.5,5.575,3,0,4.75,?
Ademola Lookman,MID,0.300499013,0.080640525,1.77277675,9.3,0.575,6.25,1.625,2,0,1.75,?
Ademola Lookman,MID,0.300499013,0.080640525,1.77277675,9.3,0.575,6.25,1.625,3,0,1.75,?
James Milner,MID,0.008163227,0.033498328,0.8158395,0.65,0,0,0.05,8,1,0.5,?
Jordan Henderson,MID,0.026121891,0.039182559,0.8158395,7.5,12.45,3.5,2.35,8,1,2.75,?
Thiago Alcántara do Nascimento,MID,0.01720411,0.173559461,0.8158395,18.6,20.925,3,4.25,8,1,2.75,?
Alex Oxlade-Chamberlain,MID,0.184300978,0.075896034,0.8158395,0,0,0,0,8,1,0,?
Sadio Mané,MID,0.22879445,0.014987046,0.8158395,12.7,5.95,26.5,4.525,8,1,3.5,?
Fabio Henrique Tavares,MID,0.190292209,0.014172424,0.8158395,16.3,4.825,4.75,2.6,8,1,3.25,?
Mohamed Salah,MID,0.438946648,0.233379507,0.8158395,17.4,17.4,45.75,8.025,8,1,4.5,?
Takumi Minamino,MID,0.16104345,0.122780286,0.8158395,0,0,0,0,8,1,0,?
Naby Keita,MID,0.02788178,0.043699732,0.8158395,1.65,0.95,5,0.775,8,1,1.75,?
Diogo Jota,MID,0.428363038,0.062012315,0.8158395,27.75,11.5,33.75,7.3,8,1,7,?
Curtis Jones,MID,0.070235766,0.065256316,0.8158395,1.05,9.325,1,1.125,8,1,1,?
Harvey Elliott,MID,0.120205201,0.107228771,0.8158395,0,0,0,0,8,1,0,?
