@relation DEF_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.044242,0,1.423624,0,0,0,0,4,1,0,?
0.1055,0,2.26946,25.4,0.175,2.25,2.8,8,0,3.5,?
0.034702,0.014385,2.26946,9.7,0.65,1.5,1.2,8,0,3,?
0.027486,0,2.26946,1.9,0.05,1.75,0.375,8,0,0,?
0.007549,0.006749,2.26946,8.45,4.275,3,1.575,8,0,0.5,?
0,0,2.26946,15.6,0.1,1,1.65,8,0,3.25,?
0,0.008954,2.26946,8.15,5.825,0,1.4,8,0,3,?
0,0.013529,2.002516,0,0,0,0,8,1,0,?
0,0.013529,2.002516,0,0,0,0,1,0,0,?
0.025902,0.220028,2.002516,15.45,13.05,14,4.225,8,1,1.75,?
0.025902,0.220028,2.002516,15.45,13.05,14,4.225,1,0,1.75,?
0.027229,0.005687,2.002516,18.3,3.75,11.5,3.35,8,1,0,?
0.027229,0.005687,2.002516,18.3,3.75,11.5,3.35,1,0,0,?
0.177467,0,2.002516,19.75,1.675,23.75,4.5,8,1,0.75,?
0.177467,0,2.002516,19.75,1.675,23.75,4.5,1,0,0.75,?
0.041493,0.033838,2.002516,0.6,1.775,1,0.35,8,1,0,?
0.041493,0.033838,2.002516,0.6,1.775,1,0.35,1,0,0,?
0.033907,0.242789,2.002516,8.85,5.925,3.5,1.85,8,1,0.5,?
0.033907,0.242789,2.002516,8.85,5.925,3.5,1.85,1,0,0.5,?
0.008358,0.085017,2.002516,1.4,0.175,0,0.15,8,1,0,?
0.008358,0.085017,2.002516,1.4,0.175,0,0.15,1,0,0,?
0.0174,0.006629,0.927987,20.5,3.05,2.5,2.6,6,1,4,?
0.122613,0,0.927987,18.95,2.175,10.75,3.225,6,1,5.5,?
0.016113,0,0.927987,0,0,0,0,6,1,0,?
0.028935,0.130379,0.927987,0,0,0,0,6,1,0,?
