name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Eric Bailly,DEF,0.0,0.0,1.4504387499999998,0.0,0.0,0.0,0.0,2,1,0.0,?
Eric Bailly,DEF,0.0,0.0,1.4504387499999998,0.0,0.0,0.0,0.0,10,0,0.0,?
Aaron Wan-Bissaka,DEF,0.05625048652291298,0.03014424629509449,1.4504387499999998,9.85,0.9750000000000001,7.0,1.8,2,1,0.5,?
Aaron Wan-Bissaka,DEF,0.05625048652291298,0.03014424629509449,1.4504387499999998,9.85,0.9750000000000001,7.0,1.8,10,0,0.5,?
José Diogo Dalot Teixeira,DEF,0.027367713395506144,0.028249187860637903,1.4504387499999998,8.95,10.325,1.5,2.0749999999999997,2,1,0.75,?
José Diogo Dalot Teixeira,DEF,0.027367713395506144,0.028249187860637903,1.4504387499999998,8.95,10.325,1.5,2.0749999999999997,10,0,0.75,?
Phil Jones,DEF,0.0,0.0,1.4504387499999998,0.0,0.0,0.0,0.0,2,1,0.0,?
Phil Jones,DEF,0.0,0.0,1.4504387499999998,0.0,0.0,0.0,0.0,10,0,0.0,?
Matt Targett,DEF,0.004083666950464249,0.029210958629846573,1.4236239999999998,12.0,15.225,3.0,3.0249999999999995,5,1,2.5,?
Matt Targett,DEF,0.004083666950464249,0.029210958629846573,1.4236239999999998,12.0,15.225,3.0,3.0249999999999995,4,1,2.5,?
Dan Burn,DEF,0.061767853796482086,0.009324443060904741,1.4236239999999998,15.95,6.075,20.25,4.225,5,1,2.75,?
Dan Burn,DEF,0.061767853796482086,0.009324443060904741,1.4236239999999998,15.95,6.075,20.25,4.225,4,1,2.75,?
Matt Ritchie,DEF,0.02559485472738743,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,5,1,0.0,?
Matt Ritchie,DEF,0.02559485472738743,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,4,1,0.0,?
Jamaal Lascelles,DEF,0.015223168767988682,0.0,1.4236239999999998,3.35,0.0,1.0,0.45,5,1,0.75,?
Jamaal Lascelles,DEF,0.015223168767988682,0.0,1.4236239999999998,3.35,0.0,1.0,0.45,4,1,0.75,?
Paul Dummett,DEF,0.0,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,5,1,0.0,?
Paul Dummett,DEF,0.0,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,4,1,0.0,?
Javier Manquillo,DEF,0.0,0.0,1.4236239999999998,2.9,0.875,0.0,0.39999999999999997,5,1,0.75,?
Javier Manquillo,DEF,0.0,0.0,1.4236239999999998,2.9,0.875,0.0,0.39999999999999997,4,1,0.75,?
Emil Krafth,DEF,0.0033769882284104824,0.0,1.4236239999999998,5.45,0.75,2.75,0.9,5,1,2.75,?
Emil Krafth,DEF,0.0033769882284104824,0.0,1.4236239999999998,5.45,0.75,2.75,0.9,4,1,2.75,?
Fabian Schär,DEF,0.08212818764150143,0.017718970775604248,1.4236239999999998,27.099999999999998,4.225,15.5,4.675,5,1,3.75,?
Fabian Schär,DEF,0.08212818764150143,0.017718970775604248,1.4236239999999998,27.099999999999998,4.225,15.5,4.675,4,1,3.75,?
Federico Fernández,DEF,0.0442423764616251,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,5,1,0.0,?
Federico Fernández,DEF,0.0442423764616251,0.0,1.4236239999999998,0.0,0.0,0.0,0.0,4,1,0.0,?
Grant Hanley,DEF,0.10549952834844589,0.0,2.26946,25.4,0.175,2.25,2.8,8,0,3.5,?
Sam Byram,DEF,0.03470176365226507,0.014385499060153961,2.26946,9.7,0.65,1.5,1.2,8,0,3.0,?
Christoph Zimmermann,DEF,0.02748558670282364,0.0,2.26946,1.9,0.05,1.75,0.375,8,0,0.0,?
Max Aarons,DEF,0.007548593915998936,0.006749281194061041,2.26946,8.45,4.275,3.0,1.5750000000000002,8,0,0.5,?
Ben Gibson,DEF,0.0,0.0,2.26946,15.6,0.1,1.0,1.65,8,0,3.25,?
Dimitris Giannoulis,DEF,0.0,0.008954223245382309,2.26946,8.15,5.825,0.0,1.4,8,0,3.0,?
Jack Stephens,DEF,0.0,0.013529027812182903,2.0025157499999997,0.0,0.0,0.0,0.0,8,1,0.0,?
Jack Stephens,DEF,0.0,0.013529027812182903,2.0025157499999997,0.0,0.0,0.0,0.0,1,0,0.0,?
Kyle Walker-Peters,DEF,0.02590180654078722,0.22002778202295303,2.0025157499999997,15.45,13.05,14.0,4.225,8,1,1.75,?
Kyle Walker-Peters,DEF,0.02590180654078722,0.22002778202295303,2.0025157499999997,15.45,13.05,14.0,4.225,1,0,1.75,?
Jan Bednarek,DEF,0.027228551916778088,0.005687492433935404,2.0025157499999997,18.3,3.75,11.5,3.35,8,1,0.0,?
Jan Bednarek,DEF,0.027228551916778088,0.005687492433935404,2.0025157499999997,18.3,3.75,11.5,3.35,1,0,0.0,?
Mohammed Salisu,DEF,0.1774672493338585,0.0,2.0025157499999997,19.749999999999996,1.6750000000000003,23.75,4.5,8,1,0.75,?
Mohammed Salisu,DEF,0.1774672493338585,0.0,2.0025157499999997,19.749999999999996,1.6750000000000003,23.75,4.5,1,0,0.75,?
Romain Perraud,DEF,0.04149273782968521,0.03383797989226878,2.0025157499999997,0.6,1.775,1.0,0.35,8,1,0.0,?
Romain Perraud,DEF,0.04149273782968521,0.03383797989226878,2.0025157499999997,0.6,1.775,1.0,0.35,1,0,0.0,?
Tino Livramento,DEF,0.033906837459653616,0.24278896674513817,2.0025157499999997,8.85,5.925,3.5,1.8499999999999999,8,1,0.5,?
Tino Livramento,DEF,0.033906837459653616,0.24278896674513817,2.0025157499999997,8.85,5.925,3.5,1.8499999999999999,1,0,0.5,?
Yan Valery,DEF,0.008357726658384005,0.08501709500948589,2.0025157499999997,1.4,0.175,0.0,0.15,8,1,0.0,?
Yan Valery,DEF,0.008357726658384005,0.08501709500948589,2.0025157499999997,1.4,0.175,0.0,0.15,1,0,0.0,?
Eric Dier,DEF,0.017400171607732773,0.006629189010709524,0.9279865,20.5,3.0500000000000003,2.5,2.6,6,1,4.0,?
Ben Davies,DEF,0.12261253828182817,0.0,0.9279865,18.95,2.175,10.75,3.2249999999999996,6,1,5.5,?
Davinson Sánchez,DEF,0.01611310988664627,0.0,0.9279865,0.0,0.0,0.0,0.0,6,1,0.0,?
Ryan Sessegnon,DEF,0.02893473207950592,0.13037926075048745,0.9279865,0.0,0.0,0.0,0.0,6,1,0.0,?
Sergio Reguilón,DEF,0.1269294759258628,0.04571111872792244,0.9279865,10.0,9.575,20.0,3.9749999999999996,6,1,3.25,?
Joe Rodon,DEF,0.0,0.0,0.9279865,0.0,0.0,0.0,0.0,6,1,0.0,?
Cristian Romero,DEF,0.048833683133125305,0.02456273464486003,0.9279865,31.4,7.125,9.75,4.825,6,1,6.0,?
Emerson Aparecido Leite de Souza Junior,DEF,0.1865843441337347,0.06261534057557583,0.9279865,14.25,12.275000000000002,11.25,3.775,6,1,3.75,?
Craig Cathcart,DEF,0.0,0.0,1.484863,4.3,0.125,0.0,0.425,4,1,0.25,?
Francisco Femenía Far,DEF,0.0,0.1717323213815689,1.484863,7.1499999999999995,6.1,0.5,1.4,4,1,1.0,?
Christian Kabasele,DEF,0.016322709619998932,0.0,1.484863,16.450000000000003,1.2499999999999998,2.25,2.0,4,1,1.5,?
William Troost-Ekong,DEF,0.0,0.0,1.484863,0.0,0.0,0.0,0.0,4,1,0.0,?
Adam Masina,DEF,0.025447032880038023,0.04386041685938835,1.484863,0.0,0.0,0.0,0.0,4,1,0.0,?
Francisco Sierralta,DEF,0.008098075166344643,0.0,1.484863,0.0,0.0,0.0,0.0,4,1,0.0,?
Jeremy Ngakia,DEF,0.008474691770970821,0.013319853693246841,1.484863,0.0,0.0,0.0,0.0,4,1,0.0,?
Hassane Kamara,DEF,0.0,0.014883737079799175,1.484863,22.4,6.275,0.0,2.875,4,1,1.0,?
Samir Caetano de Souza Santos,DEF,0.00631037587299943,0.022713886573910713,1.484863,11.45,2.625,4.5,1.875,4,1,0.75,?
Aaron Cresswell,DEF,0.04151616618037224,0.051824108930304646,1.5287615,22.1,16.075,4.5,4.2749999999999995,1,1,3.0,?
Craig Dawson,DEF,0.1658968823030591,0.08681586384773254,1.5287615,20.1,3.325,3.25,2.675,1,1,2.0,?
Ryan Fredericks,DEF,0.0,0.029153237119317055,1.5287615,4.75,4.3,1.0,1.025,1,1,0.75,?
Arthur Masuaku,DEF,0.0,0.1850607693195343,1.5287615,1.45,1.475,0.0,0.3,1,1,0.0,?
Vladimir Coufal,DEF,0.007009164895862341,0.025047444738447666,1.5287615,6.0,4.6,0.0,1.05,1,1,0.25,?
Issa Diop,DEF,0.0,0.0729578360915184,1.5287615,7.05,0.075,0.0,0.7250000000000001,1,1,0.5,?
Ben Johnson,DEF,0.0,0.07483215630054474,1.5287615,6.2,3.5,0.5,1.025,1,1,0.75,?
Harrison Ashby,DEF,0.0,0.0,1.5287615,0.0,0.0,0.0,0.0,1,1,0.0,?
