name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Ismaila Sarr,MID,0.146097038,0.126445928,1.628413,7.85,9.15,9.5,2.65,10,0,2.25,?
Imrân Louza,MID,0.204511944,0.018547913,1.628413,13.95,9.625,15.75,3.95,10,0,1.5,?
Oghenekaro Peter Etebo,MID,0.006791015,0,1.628413,0,0,0,0,10,0,0,?
Juraj Kucka,MID,0.187918039,0.077924982,1.628413,13.15,6.7,16.25,3.625,10,0,3.25,?
Edo Kayembe,MID,0,0,1.628413,0.95,0.2,0,0.125,10,0,0.25,?
Mark Noble,MID,0.190292209,0,1.7356265,1.05,0.45,0,0.15,9,0,0.25,?
Andriy Yarmolenko,MID,0.082295095,0.003191615,1.7356265,0,0.15,1.5,0.125,9,0,0.5,?
Manuel Lanzini,MID,0,0.19207924,1.7356265,8.45,12.625,1,2.2,9,0,2.25,?
Saïd Benrahma,MID,0.324031669,0.142860655,1.7356265,15.25,11.875,24.25,5.125,9,0,3,?
Jarrod Bowen,MID,0.183375683,0.162486404,1.7356265,12.1,9.2,17.5,3.9,9,0,4.25,?
Declan Rice,MID,0.07418618,0.042099672,1.7356265,18.7,15.875,9.5,4.425,9,0,2.25,?
Tomas Soucek,MID,0.193542816,0.004940681,1.7356265,19.1,4.95,15.25,3.925,9,0,4,?
Pablo Fornals,MID,0.031608012,0.137000913,1.7356265,7.6,17.625,8.5,3.375,9,0,1.5,?
Nikola Vlasic,MID,0.044366824,0.04730387,1.7356265,1.45,7.525,4,1.3,9,0,1,?
Alex Kral,MID,0.030804351,0.030272994,1.7356265,0,0,0,0,9,0,0,?
Sonny Perkins,MID,0,0,1.7356265,0,0,0,0,9,0,0,?
João Filipe Iria Santos Moutinho,MID,0.050489314,0.074567351,1.6424095,15.8,15.425,6.25,3.75,2,0,2,?
Leander Dendoncker,MID,0.062307612,0.022354931,1.6424095,6.75,4.875,9.25,2.1,2,0,1.75,?
Daniel Castelo Podence,MID,0.15113541,0.211768694,1.6424095,14.5,22.7,15.75,5.325,2,0,2.75,?
Pedro Lomba Neto,MID,0.013006626,0.160546295,1.6424095,0.45,1.8,0.5,0.275,2,0,0.25,?
Francisco Machado Mota de Castro Trincão,MID,0.10239327,0.121568836,1.6424095,20.1,9.175,18.25,4.75,2,0,4.5,?
Luke Cundle,MID,0,0.17825938,1.6424095,2.95,4.35,0.5,0.775,2,0,0.5,?
