name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Nathan Aké,DEF,0.16039352118968964,0.1543188989162445,0.416431325,5.25,0.225,0.0,0.55,10,1,1.5,?
Aymeric Laporte,DEF,0.14241306320764124,0.012962650507688522,0.416431325,18.4,5.75,4.0,2.8,10,1,5.25,?
Oleksandr Zinchenko,DEF,0.014320841990411282,0.11646073684096336,0.416431325,0.0,0.0,0.0,0.0,10,1,0.0,?
Harry Maguire,DEF,0.020382911898195744,0.0,1.4704112499999997,17.7,0.8,4.75,2.325,3,0,0.0,?
Alex Nicolao Telles,DEF,0.03114153165370226,0.0707270314451307,1.4704112499999997,18.25,29.0,5.75,5.275,3,0,3.5,?
Victor Lindelöf,DEF,0.019207380712032318,0.010730743408203125,1.4704112499999997,6.85,3.3,4.5,1.475,3,0,2.5,?
Eric Bailly,DEF,0.0,0.0,1.4704112499999997,0.0,0.0,0.0,0.0,3,0,0.0,?
Aaron Wan-Bissaka,DEF,0.030888205394148827,0.0369088314473629,1.4704112499999997,10.3,11.75,3.0,2.5250000000000004,3,0,1.5,?
José Diogo Dalot Teixeira,DEF,0.027367713395506144,0.028249187860637903,1.4704112499999997,8.95,10.325,1.5,2.0749999999999997,3,0,0.75,?
Raphaël Varane,DEF,0.0,0.004183318931609392,1.4704112499999997,12.05,3.6750000000000003,0.5,1.65,3,0,2.25,?
Phil Jones,DEF,0.0,0.0,1.4704112499999997,0.0,0.0,0.0,0.0,3,0,0.0,?
Matt Targett,DEF,0.009778514504432678,0.03605105495080352,1.79649475,16.599999999999998,18.650000000000002,3.0,3.8499999999999996,7,1,1.5,?
Dan Burn,DEF,0.04210025817155838,0.033935902174562216,1.79649475,23.349999999999998,6.05,16.5,4.575,7,1,2.0,?
Matt Ritchie,DEF,0.02559485472738743,0.0,1.79649475,0.0,0.0,0.0,0.0,7,1,0.0,?
Jamaal Lascelles,DEF,0.015223168767988682,0.0,1.79649475,3.35,0.0,1.0,0.45,7,1,0.75,?
Paul Dummett,DEF,0.0,0.0,1.79649475,0.0,0.0,0.0,0.0,7,1,0.0,?
Javier Manquillo,DEF,0.0,0.0,1.79649475,2.9,0.875,0.0,0.39999999999999997,7,1,1.0,?
Emil Krafth,DEF,0.01696274382993579,0.006182562559843063,1.79649475,4.35,0.75,2.75,0.8,7,1,1.75,?
Fabian Schär,DEF,0.0648152120411396,0.0,1.79649475,24.4,1.4749999999999999,14.5,4.025,7,1,3.0,?
Federico Fernández,DEF,0.0442423764616251,0.0,1.79649475,0.0,0.0,0.0,0.0,7,1,0.0,?
Grant Hanley,DEF,0.03222784772515297,0.0,2.46299,20.1,0.35000000000000003,0.5,2.125,1,1,1.75,?
Sam Byram,DEF,0.013233405537903309,0.014385499060153961,2.46299,10.45,3.5250000000000004,10.75,2.475,1,1,1.75,?
Christoph Zimmermann,DEF,0.02748558670282364,0.0,2.46299,1.9,0.05,1.75,0.375,1,1,0.0,?
Ben Gibson,DEF,0.0,0.0,2.46299,10.0,0.275,1.0,1.0999999999999999,1,1,1.75,?
Dimitris Giannoulis,DEF,0.0,0.024107322096824646,2.46299,4.45,2.85,0.0,0.725,1,1,1.5,?
Jack Stephens,DEF,0.0,0.013529027812182903,1.61675575,4.35,0.075,0.5,0.5,9,1,0.0,?
Kyle Walker-Peters,DEF,0.02590180654078722,0.10903434455394745,1.61675575,13.25,9.55,14.0,3.6500000000000004,9,1,2.25,?
Jan Bednarek,DEF,0.0909913731738925,0.005687492433935404,1.61675575,19.6,4.1499999999999995,12.5,3.625,9,1,0.5,?
Mohammed Salisu,DEF,0.18658061046153307,0.0,1.61675575,16.299999999999997,1.5750000000000002,23.75,4.15,9,1,1.0,?
Romain Perraud,DEF,0.04149273782968521,0.03383797989226878,1.61675575,0.6,2.7249999999999996,1.75,0.475,9,1,-0.25,?
Tino Livramento,DEF,0.033906837459653616,0.26068740524351597,1.61675575,13.95,15.399999999999999,4.5,3.4000000000000004,9,1,0.75,?
Yan Valery,DEF,0.012536589987576008,0.12752564251422882,1.61675575,1.25,3.75,0.25,0.525,9,1,0.0,?
Matt Doherty,DEF,0.19149308186024427,0.015269052237272263,0.8107314999999999,16.2,6.75,24.75,4.775,5,0,5.75,?
