@relation MID_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0,0,1.512102,0,0,0,0,3,1,0.25,?
0.054139,0.42231,1.512102,1,2.825,0.75,0.45,3,1,0.5,?
0.067137,0.03256,1.512102,13.35,11.275,10,3.475,3,1,1.75,?
0.006791,0,1.512102,0.15,0.075,0,0.025,3,1,0.25,?
0.145193,0.099528,1.512102,11,4.2,13.25,2.85,3,1,2.25,?
0,0,1.512102,1.35,0.15,0,0.15,3,1,0.25,?
0.021319,0,1.512102,1.05,0.35,1.75,0.325,3,1,0.5,?
0.190292,0,1.612089,1.3,0.6,0,0.2,4,0,0.5,?
0.082295,0.003192,1.612089,10.9,2.85,7.25,2.05,4,0,2,?
0.131175,0.009982,1.612089,7.65,8.025,4,1.975,4,0,1.25,?
0.127399,0.277901,1.612089,24.75,15,20.25,5.975,4,0,5.5,?
0.265957,0.055712,1.612089,10.9,9.125,13,3.3,4,0,3.5,?
0.007499,0.022659,1.612089,14.3,6.45,0,2.075,4,0,2,?
0.037106,0.117917,1.612089,15.25,7.375,5,2.775,4,0,2,?
0.242256,0.134292,1.612089,15.95,16.3,22.25,5.45,4,0,3.25,?
0.036239,0.03587,1.612089,0.85,2.725,6,0.95,4,0,0.75,?
0.030804,0.030273,1.612089,0,0,0,0,4,0,0,?
0,0,1.612089,0,0,0,0,4,0,0,?
0.050489,0.074567,1.407388,14.2,15.2,6.25,3.575,2,0,2.5,?
0.062308,0.022355,1.407388,6.75,4.875,9.25,2.1,2,0,1.75,?
0.151135,0.211769,1.407388,23.7,25.175,23,7.225,2,0,4.75,?
0.023496,0.165213,1.407388,1.9,5.625,5.5,1.3,2,0,0.25,?
0.110046,0.121569,1.407388,17.7,7.65,18.25,4.35,2,0,4,?
0,0.239025,1.407388,0,0,0,0,2,0,0,?
