name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Ademola Lookman,MID,0.277291615,0.080640525,1.92683175,3.4,3.075,3.5,1,4,1,0.25,?
Mateusz Klich,MID,0.015827106,0.037631694,1.49475,8,8.425,5.5,2.2,1,0,1.5,?
Stuart Dallas,MID,0.015567969,0.108720124,1.49475,17.6,7.975,5.75,3.15,1,0,2,?
Kalvin Phillips,MID,0.020554436,0.008979249,1.49475,2,0.15,0,0.225,1,0,0.25,?
Raphael Dias Belloli,MID,0.499028683,0.394183895,1.49475,13.05,21.3,18,5.225,1,0,2.75,?
Jack Harrison,MID,0.324550325,0.274142026,1.49475,25.4,19.575,22,6.675,1,0,4.5,?
Daniel James,MID,0.290386687,0.204441404,1.49475,8.8,12.125,31.5,5.25,1,0,2,?
Crysencio Summerville,MID,0.080597806,0.003431849,1.49475,0,0,0,0,1,0,0,?
Adam Forshaw,MID,0.025995135,0.005174581,1.49475,11.9,7.35,7.5,2.675,1,0,1.75,?
Liam McCarron,MID,0,0,1.49475,0,0,0,0,1,0,0,?
Stuart McKinstry,MID,0,0,1.49475,0,0,0,0,1,0,0,?
James Milner,MID,0.008163227,0.033498328,0.8137945,0.7,0.025,0,0.05,10,0,0.75,?
Jordan Henderson,MID,0.022114189,0.053466147,0.8137945,9.5,18.325,3.75,3.15,10,0,3,?
Thiago Alcántara do Nascimento,MID,0.01720411,0.173559461,0.8137945,16.95,20.25,2.5,3.975,10,0,2.5,?
Alex Oxlade-Chamberlain,MID,0.184300978,0.075896034,0.8137945,0,0,0,0,10,0,0,?
Sadio Mané,MID,0.379963757,0.037518676,0.8137945,13.75,9.6,43.25,6.675,10,0,3.75,?
Fabio Henrique Tavares,MID,0.190292209,0.019212484,0.8137945,17.7,8.05,4.75,3.05,10,0,3.75,?
Mohamed Salah,MID,0.558842886,0.048877963,0.8137945,12.6,12.825,59,8.425,10,0,4,?
Takumi Minamino,MID,0.16104345,0.122780286,0.8137945,0,0,0,0,10,0,0,?
Naby Keita,MID,0.036635763,0.043699732,0.8137945,4.3,7.125,4.75,1.625,10,0,2.25,?
Diogo Jota,MID,0.232610948,0.062012315,0.8137945,18.1,10.55,23.5,5.175,10,0,5.25,?
Curtis Jones,MID,0.070235766,0.065256316,0.8137945,1.05,9.325,1,1.125,10,0,1.25,?
Harvey Elliott,MID,0.120205201,0.107228771,0.8137945,0,0,0,0,10,0,0,?
Tyler Morton,MID,0,0,0.8137945,0,0,0,0,10,0,0,?
Kaide Gordon,MID,0.491121143,0,0.8137945,0,0,0,0,10,0,0,?
Luis Díaz,MID,0.293630861,0.105212838,0.8137945,11.5,10.775,27.25,4.975,10,0,3,?
Jack Grealish,MID,0.05919996,0.382611247,0.416431325,6.95,28.025,27,6.175,10,1,1.75,?
Ilkay Gündogan,MID,0.284309335,0.165206776,0.416431325,17.45,12.225,11.5,4.15,10,1,4,?
Kevin De Bruyne,MID,0.326983994,0.39424029,0.416431325,44.15,49.45,42.75,13.65,10,1,8.75,?
Riyad Mahrez,MID,0.497540083,0,0.416431325,19.35,6.05,38.75,6.425,10,1,4.5,?
Raheem Sterling,MID,0.636991825,0.153861156,0.416431325,10.95,13.625,9.75,3.45,10,1,3.5,?
Bernardo Mota Veiga de Carvalho e Silva,MID,0.358800378,0.143391443,0.416431325,16.45,30.425,32.25,7.925,10,1,3.25,?
Phil Foden,MID,0.541330155,0.03203658,0.416431325,11.95,14.95,44.25,7.125,10,1,3.75,?
Rodrigo Hernandez,MID,0.07743089,0.033232419,0.416431325,18.35,13.875,14.5,4.675,10,1,2.75,?
Fernando Luiz Rosa,MID,0.195286008,0.185924483,0.416431325,0,0,0,0,10,1,0,?
James McAtee,MID,0.044324361,0,0.416431325,0,0,0,0,10,1,0,?
Nemanja Matic,MID,0,0.002293653,1.47041125,8.05,6.9,0,1.5,3,0,1.5,?
Paul Pogba,MID,0.034472241,0.225862305,1.47041125,8.35,16.075,12,3.65,3,0,2.75,?
