avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,1.7376885,28.55,0,0,2.85,5,1,3.75,1,no
0,0,1.39676075,24.4,0,0,2.45,8,1,2,1,no
0,0,1.336872,16.6,0,0,1.675,7,0,4,1,no
0,0,0.895305,17.4,0,0,1.7,10,0,5,1,no
0,0,1.4132975,18.55,0,0,1.875,10,0,4.5,1,no
0,0,0.98434525,15.55,0,0,1.55,10,0,3.25,1,no
0,0.010380178,1.3471905,17.55,5,0,2.25,1,0,3.75,1,no
0,0,1.2792265,21.7,0,0,2.15,3,1,5.25,1,no
0,0,0.991804,19.55,0,0,1.95,5,1,4.5,1,no
0,0,1.577497,39.05,0,0,3.9,10,1,5.75,1,no
0,0,0.9908235,28.45,0,0,2.825,10,1,5.5,1,no
0,0,1.6515525,21.15,0,0,2.1,2,1,2.75,1,no
0,0,1.09035,20.6,0,0,2.05,9,0,3,1,no
0,0,1.34928925,44.55,0,0,4.45,3,0,5.25,1,no
0,0.012578597,1.85669175,1.85,5.275,1,0.775,7,1,1,1,no
0,0,1.38113,35.35,0,0,3.525,9,0,4.5,1,no
0,0,1.14680325,15.3,0,0,1.525,8,1,3.75,1,no
0,0,1.545817,35.75,0,0,3.575,5,1,3,1,no
0,0,2.047472,35.7,0,0,3.575,3,0,6,1,no
0,0,1.8537575,17.7,0,0,1.775,4,1,1.5,1,no
0,0,1.717246,12.75,0,0,1.3,7,1,3.5,1,no
0,0,1.19888325,12.45,0,0,1.25,2,1,3.25,1,no
0,0,2.7724575,34.15,0,0,3.425,1,1,2.75,1,no
0,0,1.2290085,12.95,0,0,1.3,4,0,3.25,1,no
0,0,1.74776125,23.55,0,0,2.35,6,1,1.75,1,no
0,0,1.811492,18.3,0,0,1.85,10,0,3.25,1,no
0,0,1.59969,11.2,0,0,1.125,8,0,2,1,no
0,0,1.292539,25.1,0,0,2.5,10,1,6,1,no
0,0,2.513635,39.65,0,0,3.975,8,0,2,1,no
0,0,0.93361325,19.85,0,0,1.975,6,0,3.25,1,no
0,0,1.27708775,17.35,0,0,1.725,4,1,3.25,1,no
0.010041436,0,2.11434,0.55,0.075,2,0.2,1,0,1,1,no
0.067214353,0.026361149,1.581183,4.45,5.5,18.25,2.775,5,1,1,1,no
0,0,1.06530125,19.6,0,0,1.975,10,1,4,1,no
0.105702968,0.026361149,1.4879405,3.95,6.075,26.25,3.55,8,0,1,1,no
0,0,0.675912,12.25,0,0,1.225,9,0,5,1,no
0,0,1.566896,30.7,0,0,3.05,8,1,3.5,1,no
0,0,1.23931075,31.85,0,0,3.175,1,1,6,1,no
0,0,1.6895905,13.75,0,0,1.35,6,0,1.75,1,no
0,0.005219328,1.1684565,28.7,2.5,0,3.125,10,1,5.25,1,no
