avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.314299129,0.028572432,1.76347,6.15,10.75,34.75,5.15,9,1,2,1,no
0.251262039,0,0.653766,1.2,0.15,14,1.55,10,1,1,1,no
0.006000529,0.009314792,0.293700033,6.866666667,4.8,3.333333333,1.5,9,0,2,1,no
0.081459899,0.060703095,1.51927275,1.1,14.825,14.5,2.975,6,0,1.75,1,no
0.014360423,0.022626234,0.827746667,0.733333333,4.7,3.666666667,0.866666667,4,0,1.333333333,1,no
0.18500948,0.056274917,2.214765,21.8,8.5,10.5,4.1,9,0,3.5,1,no
0.207178053,0.035725858,2.0423,11.9,11.15,25.5,4.875,6,1,2.25,1,no
0.415406146,0.020991394,1.79562,16.85,5.075,18.5,3.975,3,0,3.75,1,no
0.086648926,0,1.25257875,0,0.55,2,0.2,10,0,1,1,no
0.181337915,0.032043946,1.7190075,6.9,12.55,23.25,4.25,3,0,1.75,1,no
0.182052232,0,0.864110667,0.8,0.2,13.33333333,1.266666667,5,0,1,1,no
0.289813394,0.195640236,1.1524615,29.4,7.65,31,6.8,4,1,6,1,no
0.436829139,0.375988252,0.925092875,25.15,33.375,52.5,11.125,5,1,5.75,1,no
0.017486849,0.016969675,1.1709925,1.35,3.675,7.5,1.225,1,1,1.25,1,no
0.236059193,0.126136665,1.6118075,11.65,11.025,26.25,4.9,5,0,2.25,1,no
0.415406146,0.020991394,1.9727725,16.85,4.725,16.5,3.65,5,1,3.75,1,no
0.611784764,0.098752473,0.901446,25,14.35,30.75,6.925,6,0,5.5,1,no
0.308731714,0.195640236,1.2626055,13.05,7.6,23.5,4.4,7,0,3.25,1,no
0.086648926,0,0.770311,0,0.55,2,0.2,8,1,1,1,no
0.502725061,0.098752473,0.866251,15.9,12.6,22.5,4.95,4,0,4,1,no
0.136539174,0.022582643,1.2995405,1.45,5.35,12.5,1.8,8,1,1,1,no
0.004500397,0.006986094,0.780427525,5.15,3.6,2.5,1.125,4,0,1.75,1,no
0.292866345,0.195640236,1.328728,12.95,6.85,18.75,3.825,9,0,3.25,1,no
0.006716532,0,1.24946625,1.35,0.3,5.25,0.7,6,0,1,1,no
0.100829681,0.123476744,0.86721275,19,18.9,27.75,6.575,1,1,5.75,1,no
0.086648926,0,0.858718,0,0.825,2,0.225,8,0,1,1,no
0.004500397,0,0.758109275,0.9,1.025,2.5,0.425,6,1,1,1,no
0.503915191,0.136911705,0.93615675,32.2,16.175,39.75,8.825,9,1,7.75,1,no
0.558780508,0.007027038,1.07130575,20.15,4.225,39.75,6.425,6,1,5.25,1,no
0.210204599,0.022582643,1.212648,10.15,5.85,23,3.775,9,0,2,1,no
0,0,0.672058,2.4,0.8,0,0.3,6,1,1,1,no
0.617214699,0.204389215,1.26628475,23.8,22.325,58,10.425,8,0,4.75,1,no
0.334444782,0.125180647,0.388278,25.6,12.675,37,7.55,3,0,6.5,1,no
0.57377677,0.007027038,0.81617575,21.5,4.675,44.25,7.05,8,0,5.25,1,no
0.123421207,0.020027349,0.97197775,21.25,11.675,31.25,6.425,5,0,4.25,1,no
0.195687221,0.066535798,1.03035675,17.3,17.975,46.5,8.175,8,1,3.5,1,no
0.160336664,0.125180647,0.275167,16.2,11.025,18.75,4.575,1,0,4.5,1,no
0.078743324,0,1.3508,4.2,0.5,20,2.5,7,1,1,1,no
0.02981638,0.017919092,0.97122325,11.7,3.625,2.75,1.775,2,1,3.25,1,no
0.199296445,0.15558885,0.63186175,14.8,5.75,18.5,3.925,3,1,2.75,1,no
0,0,1.67016,0,0,0,0,9,0,1,1,no
0.072389084,0.019999456,1.034073,11.75,6.675,23.25,4.1,7,0,2.5,1,no
0.229781747,0,1.547195,9.85,2.55,26,3.8,2,0,2.75,1,no
0.02981638,0.017919092,1.08153125,11.7,3.625,3.25,1.8,10,0,3.25,1,no
0.163140986,0.029823346,1.4983375,4.55,5.15,14.25,2.4,3,0,1.5,1,no
0.123601811,0.013004764,1.2618545,12.05,6.3,11.5,3,2,0,3.25,1,no
0.243209325,0.15558885,0.63991625,15.1,6.25,30.5,5.2,7,0,2.75,1,no
0.242149368,0,1.013108,8,0.375,11.25,1.95,5,0,2.25,1,no
0.038822766,0,1.554069,1.3,2.55,15.5,1.95,8,1,1,1,no
0.137396944,0.138969597,0.71241375,25.9,43.95,41.25,11.125,8,0,4.25,1,no
0,0,0.488485,0.2,0.7,2,0.3,3,1,1,1,no
0.036626777,0,0.87308275,1.25,1.6,11.5,1.3,3,1,1.25,1,no
0.046806093,0.017919092,1.49938975,11.7,4.275,7.75,2.25,1,1,3.25,1,no
0.242149368,0,0.4977415,8,0.6,11.25,1.95,2,1,2.25,1,no
0.207899537,0.006765985,1.87366,2.6,5.95,20.25,2.775,6,0,2,1,no
0,0,1.143786,0,0,0,0,5,1,1,1,no
0.389467075,0.093461629,1.19452625,29.35,8.75,46.75,8.475,9,1,5.25,1,no
0.26275235,0,1.27388,9.65,2.2,18.25,3,4,1,2.75,1,no
0.051830852,0.009273482,1.1861765,1.25,4.15,14.25,1.825,10,1,1.25,1,no
0.046806093,0.017919092,1.114909,11.7,4.275,7.75,2.25,1,0,3.25,1,no
0.242149368,0,0.48729175,8,1.55,11.25,2.05,9,0,2.25,1,no
0.264562421,0.149358466,0.975062,26.45,13.95,40.75,8.125,2,1,5.75,1,no
0,0,1.647790667,0,0.166666667,0.666666667,0.066666667,6,1,1,1,no
0.446665578,0.027098616,0.91230225,32.65,10.225,49,9.2,5,0,6,1,no
0,0,0.8939825,0.1,0.35,2,0.2,10,0,1,1,no
0.051830852,0.009273482,1.4034425,1.25,3.825,13.25,1.725,2,0,1.25,1,no
0.061841009,0.008421469,1.3173295,1.8,4.075,18.75,2.35,4,1,1,1,no
0,0,1.549063,0.1,0.2,0.5,0.075,10,0,1,1,no
