avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.014068176,0,2.197195,18.9,0.225,4.5,2.375,2,0,1.25,-1,no
0,0,2.01368575,24.45,0.25,1,2.6,9,1,2.25,-1,no
0.002238191,0.00793556,2.03431575,15.8,8.475,6.25,3.05,10,0,2.5,-1,no
0.093390448,0.015261994,1.21166325,19.2,5.85,13.75,3.875,10,0,3.25,-1,no
0.01318261,0,2.523635,22.2,0.175,1.5,2.425,6,0,0.5,-1,no
0,0,2.523635,16.7,2.325,0,1.9,6,0,0.5,-1,no
0.108342012,0.016193219,2.03431575,10.85,7.525,8.25,2.65,10,0,1.75,-1,no
0,0.183617517,0.93045025,15.2,13.3,1,2.95,8,0,2.75,-1,no
0.005456722,0,2.3504,30.7,0.25,1.5,3.25,10,1,1,-1,no
0.008754632,0.123679079,1.448544,25.75,11.3,4.25,4.125,5,1,6,-1,no
0.02817432,0,1.607419,9.3,0.4,2,1.175,9,1,1.25,-1,no
0.032604802,0.374584435,1.8459395,36.95,39.6,5.25,8.175,9,1,5.25,-1,no
0.022084931,0,1.8459395,21.4,0.5,11.25,3.325,9,1,3,-1,no
0,0.048082564,1.8459395,12.45,14.4,1,2.75,9,1,1.75,-1,no
0,0.023080582,1.892485,14.25,5.375,0,1.975,7,1,1.75,-1,no
0,0,1.6527675,10.45,0.225,0.5,1.125,4,1,1,-1,no
0.139960513,0.012118301,0.84715875,23.85,3.3,14.5,4.175,10,0,3.5,-1,no
0.003897089,0.044640956,1.6741475,8.85,12.85,2.25,2.375,8,0,0.25,-1,no
0,0,1.416186,18.1,0.625,0,1.875,10,0,1.5,-1,no
0.03205904,0.209518876,2.15443275,12.2,10.85,9.75,3.275,3,0,2,-1,no
0,0,1.6551635,16.85,0.6,0,1.75,6,1,1,-1,no
0.08243181,0.21850525,1.4154985,38.8,27.4,21,8.725,3,0,8,-1,no
0.018446851,0.011368664,1.55043925,19.35,3,4.5,2.7,1,0,2.5,-1,no
0.093253794,0,1.55043925,27.8,0.15,26,5.4,1,0,4.25,-1,no
0.018932201,0.036315215,1.1505575,19.5,9.15,3,3.175,10,0,3.25,-1,no
0.025010285,0.039815034,1.16590475,15.1,17.5,9.25,4.2,10,0,4,-1,no
0.094340663,0.090027491,1.16590475,23.45,13.2,14.75,5.15,10,0,4.75,-1,no
0.128482221,0.066574939,1.4820925,29.65,5.6,12.75,4.825,5,0,6,-1,no
0.055715266,0.056649972,0.67792025,15.6,13.775,20.5,4.975,10,0,5,-1,no
0.00536436,0.053168133,2.16979,16.55,6.825,3.75,2.7,8,1,1,-1,no
0.024652632,0,1.545817,20.75,1.1,8.75,3.075,5,1,1.25,-1,no
0.013168111,0,1.717246,16.9,0.55,2.5,2,7,1,3.75,-1,no
0.09359709,0.067086734,1.890965,24.8,6.85,9,4.075,5,0,2.25,-1,no
0,0,1.33612775,13,0.125,0,1.325,3,0,3,-1,no
0,0.034738642,2.3443525,7.7,9.15,1,1.775,5,0,1,-1,no
0.099441255,0,2.047472,17.7,1.675,3.75,2.3,10,0,1.25,-1,no
0.025456924,0.013609655,1.75372425,11.55,6.9,2,2.05,3,1,1,-1,no
0.088930801,0.049778568,1.898655,31.9,8.225,5.25,4.55,6,1,1.25,-1,no
0.067642841,0.011833238,1.4279635,24.05,3.6,13,4.075,7,0,2.5,-1,no
0.144818977,0.005852751,2.032685,21.4,2.75,2.25,2.65,2,0,2.25,-1,no
0,0,1.1684565,25.3,0.975,1,2.725,10,1,3.75,-1,no
0.057397734,0,0.4808065,13.15,1,12,2.625,9,0,5.25,-1,no
0.018728691,0.098664112,1.494718,25.9,3.675,4.75,3.425,10,0,3.75,-1,no
0,0.012778561,1.4154625,16.4,4.8,1,2.225,8,0,4.25,-1,no
0.167338604,0,1.6287,29.7,0.675,10.5,4.075,8,0,5.75,-1,no
0.043143942,0.036846688,2.012877,30.9,6.525,14.25,5.175,5,1,3.75,-1,no
0.006001239,0.207710004,0.963006,17.65,14.825,0.25,3.25,9,1,3.75,-1,no
0,0,1.59679825,14.05,0.35,1,1.55,8,1,1.25,-1,no
0.05179203,0.160455674,1.34727025,26.8,11.625,12.75,5.1,8,1,5.5,-1,no
0.034896872,0.371495601,1.385411,13.75,35.9,5.5,5.525,3,0,2.25,-1,no
0.033351365,0.285779074,1.3947955,13.8,8.35,7.5,2.95,8,1,1.5,-1,no
0.111003431,0.136150392,1.236934,15.9,13.625,9,3.875,9,0,5.25,-1,no
0,0.224540189,1.00972925,22.3,12.625,2,3.675,8,0,2.5,-1,no
0,0.140718993,2.35093,25.45,15.4,0,4.1,8,1,2.25,-1,no
0.011849741,0,1.26115125,29.8,0.45,8.25,3.85,5,1,3.5,-1,no
0,0.001711014,1.6536545,16.8,4.05,0,2.1,9,0,2.5,-1,no
0.015984403,0.017622077,1.2867725,25.2,9.925,12.5,4.775,1,0,4.25,-1,no
0.144969439,0,2.4204525,28.8,0.775,5.25,3.5,10,1,2.5,-1,no
0,0,1.77018475,8,2.05,0,1.025,10,1,2,-1,no
0.107161563,0,2.55062,20.4,0.275,8.5,2.925,10,1,2.5,-1,no
0.025093816,0.079713624,2.7700575,21.5,7.95,12,4.15,10,1,3,-1,no
0.029173423,0,1.40581825,12.25,0.475,6,1.875,8,0,3.75,-1,no
0.144357145,0.132942858,0.667635,21.35,8.725,9.5,3.95,10,0,6.5,-1,no
0.033149194,0,1.06146275,10.9,0.775,8.75,2.05,9,0,1.75,-1,no
0.016960917,0.015130916,0.7473172,17.75,3.45,1.75,2.3,9,0,2.75,-1,no
0.004594789,0,0.654915125,16.1,4.725,2.5,2.35,10,0,2.5,-1,no
0,0.154847175,1.3461575,12,23.65,2,3.8,10,1,1,-1,no
0,0.01256906,2.12257875,18.15,5.85,0,2.4,6,1,1,-1,no
0.053650525,0.026017071,1.37919925,16.7,14.225,5,3.625,8,0,2.25,-1,no
0.022366606,0,1.03838725,16.2,0.825,4.75,2.2,7,1,2.75,-1,no
0.008595635,0.119421885,1.5302255,17.35,11.775,5.75,3.475,8,0,3.75,-1,no
0.015159202,0.054967782,1.03838725,14.5,16.35,10,4.1,7,1,2.75,-1,no
0,0.012788467,1.30258975,10.65,2.525,0,1.3,8,0,2.25,-1,no
0.094456851,0.14663452,1.302455225,14.4,20.425,15.25,5,1,0,2.5,-1,no
0.00910163,0.018494733,1.39837225,17.55,6.975,5,2.95,7,1,3.5,-1,no
0.143150637,0.301213755,1.183554,27.7,25.825,13.75,6.75,5,0,6.25,-1,no
0.013878796,0.003945617,1.733977,15.25,4.5,6,2.575,7,1,2.75,-1,no
0.044749122,0.3679916,1.183554,31.35,35.05,7.25,7.35,5,0,7,-1,no
0.029947851,0,1.33497475,14.85,0.15,8.5,2.35,8,1,2.25,-1,no
0.136012189,0.014936385,1.6573075,13.35,3.85,2.5,1.975,4,0,0.25,-1,no
0,0.041191326,1.3100675,22.45,6.85,1,3.025,3,1,3.5,-1,no
0.003792778,0,1.58063275,15.45,0.625,2,1.825,9,0,1.5,-1,no
0,0,2.015643333,22.86666667,0.7,0.666666667,2.433333333,4,0,1.333333333,-1,no
0.14589618,0.048176479,0.839029,19.2,19.95,23.75,6.3,5,0,4.5,-1,no
0,0.003751654,1.21500425,27.1,2.825,0,2.975,9,1,1.25,-1,no
0,0,1.272954,15.4,0.55,0,1.6,9,0,2,-1,no
0,0,1.9067675,16.8,1.375,0.5,1.875,10,1,1,-1,no
0.012716615,0.075017158,1.431546,14.7,8.125,6.5,2.925,9,1,1.75,-1,no
0,0.036959114,1.3301815,26.3,6.075,0,3.25,8,1,3.75,-1,no
0.024223604,0.076902049,2.170722,20.75,16.075,7.5,4.425,10,0,3.25,-1,no
0.062259411,0.052373003,1.04451325,17.9,13.7,16.5,4.825,9,1,2.75,-1,no
0.006692579,0.141894051,2.170722,13.1,15.975,3.75,3.3,10,0,4,-1,no
0.047701558,0,1.070166,18.05,1.025,4.25,2.325,6,0,2.75,-1,no
0,0,1.15266875,2.85,0.925,0,0.375,8,0,1.25,-1,no
0,0.080580838,2.16862525,10.45,6.2,0.5,1.725,10,0,0.5,-1,no
0.103575807,0.071019568,1.291057,23.05,16.7,12,5.175,7,0,5.5,-1,no
0.002664525,0.035733516,1.291057,12.95,12.85,1.75,2.775,7,0,2.75,-1,no
0.046312927,0.1305549,1.32159,18.6,3.175,9.75,3.175,9,1,4,-1,no
0.023909102,0.02034793,1.4537895,15.25,7.675,5.25,2.8,7,1,1.25,-1,no
0.009991924,0,1.65922,21.05,0.3,5.5,2.7,7,0,4.5,-1,no
0.026021194,0,1.11469075,22.75,0.575,7,3.075,9,0,4.75,-1,no
0.094566378,0.156338209,1.9577975,15.9,6.75,3,2.575,8,0,2,-1,no
0.247714453,0,1.1455675,24.2,0.4,21.25,4.6,7,1,4,-1,no
0.004225048,0.04162682,0.315072,24.1,9.05,1.5,3.475,1,1,7.5,-1,no
0,0,1.94617,6.1,0.125,0.5,0.675,6,0,0.5,-1,no
0,0.016384251,1.7377875,24.95,4.15,1,3.025,1,1,2,-1,no
0,0,1.17188,16,0,0,1.6,9,1,0,-1,no
0.018464446,0,2.20802,13.7,0.3,8.5,2.25,7,0,2.5,-1,no
0.027645396,0.059269592,0.4059075,12.45,17.3,10.25,4,3,0,3,-1,no
0.004861668,0,0.99497325,10.9,0.15,4.25,1.55,10,0,3.25,-1,no
0.055706635,0,0.684593,4.8,3.3,8,1.6,9,1,2,0,no
0,0,0.990062,13.6,1,0,1.5,9,1,5,0,no
0,0,0.684593,0,0.1,0,0,9,1,1,0,no
0.057913192,0,1.95479,15,8.3,7,3,8,1,1,0,no
0.012986654,0,0.684593,18.4,0.8,6,2.5,9,1,2,0,no
0,0,1.4725765,6.7,0.9,0,0.75,3,0,0.5,0,no
0,0.128752872,1.14759,18.4,43.1,2,6.4,2,0,1,0,no
0.035413876,0,0.944816,17.4,4.7,21,4.3,10,0,6,0,no
0.15849951,0.059087738,1.073436,24,16.8,6.333333333,4.7,2,0,1,0,no
0.076545892,0.082500758,0.735598333,21,27.36666667,21.33333333,6.966666667,5,1,1.666666667,0,no
0.023827974,0.127372696,0.735598333,27.6,30.66666667,5.333333333,6.333333333,5,1,3.666666667,0,no
0.032984201,0,1.8471325,29.15,0.325,6.75,3.625,5,0,3.5,0,no
0.118874633,0.048183192,0.985002,20.45,15.3,4.75,4.05,1,1,0.75,0,no
0.27553916,0,1.2989,26.6,0.2,4.5,3.15,4,1,3.5,0,no
0.021776525,0,1.64918575,11.35,3.7,3.25,1.825,3,0,1,0,no
0,0,1.64918575,5.25,0.9,0.5,0.675,3,0,0.5,0,no
0.024310103,0.030990316,2.16794,21.53333333,17.96666667,8,4.766666667,9,1,2.666666667,0,no
0.005832362,0.005552249,1.69941,24.05,3.5,4.75,3.225,8,1,1.5,0,no
0,0,1.4603,16.4,1.4,0,1.8,8,1,1,0,no
0.008234025,0.06508142,0.9063105,19,18.175,1,3.825,1,0,0.75,0,no
0,0,0.354456025,17.2,1.325,0.5,1.9,9,0,5.5,0,no
0.111928057,0.163915567,0.413113875,14.1,18.825,4,3.7,6,0,4.75,0,no
0,0.013320717,1.915165,26.3,13.5,2,4.2,10,0,2.5,0,no
0,0.21106859,0.501268667,31.46666667,4.066666667,2.666666667,3.833333333,10,1,4.333333333,0,no
0.072461658,0.046921372,0.79723425,15.65,4.3,3.75,2.375,5,0,3,0,no
0.006324013,0.178901225,1.95286175,20.25,5.3,8.5,3.425,2,0,2.75,0,no
0,0,1.9901075,18.65,0.45,2,2.1,9,1,1.75,0,no
0.059239103,0.063503691,0.770311,14.1,20.025,15.25,4.925,8,1,1.75,0,no
0.007152817,0.029590199,1.034075,15.65,12.75,2.75,3.125,5,1,3.75,0,no
0.011743696,0.094926225,1.747025,24.95,22.525,6,5.325,10,0,1.75,0,no
0.077439999,0,1.129202667,20.13333333,0.7,6,2.666666667,5,1,2.666666667,0,no
0.00498413,0.197552034,1.249209,23.6,31.45,2.5,5.775,10,1,4,0,no
0.034929752,0.050866205,1.249209,20.45,13.75,17,5.125,10,1,5.25,0,no
0.088456045,0,1.389438,19.1,0.3,18,3.75,7,1,1,0,no
0,0,1.18560075,25.4,0.375,0,2.6,8,0,2.75,0,no
0.033606937,0.068235792,1.31916875,19.65,15.15,9.25,4.425,10,0,2.5,0,no
0.399363935,0,1.95365675,34.3,0.225,21.5,5.6,8,0,5,0,no
0.206440462,0.062684044,1.7007825,26.2,18.55,25.75,7.05,3,0,4.75,0,no
0.033606937,0.068235792,1.6125125,20.3,14.65,9.25,4.425,9,1,1,0,no
0.127886593,0.004091507,1.09439675,27.65,3.85,9.25,4.1,7,1,3.75,0,no
0.020199281,0.022107978,1.149959333,9,9.533333333,5,2.366666667,9,1,1.333333333,0,no
0.06822334,0.03900219,0.745316,15.75,15.8,10,4.175,6,0,6.25,0,no
0,0,0.9027725,16.05,0.125,4.5,2.075,9,0,3.75,0,no
0.01352982,0.037762295,1.1842645,20.4,6.1,7,3.35,6,0,2,0,no
0.05255132,0,2.0573695,16,3.075,6,2.5,8,1,2,0,no
0.023573132,0.126584928,1.32998675,22.7,16.85,3.75,4.325,10,1,4.25,0,no
0.012402843,0,1.29544725,14.85,0.875,6.25,2.225,10,0,1.5,0,no
0.152722449,0.1602249,1.7664775,25.3,0.775,4,3.025,8,1,2,0,no
0.006927948,0.011947701,1.4253865,17.8,5.4,2.5,2.575,5,0,1.5,0,no
0,0,0.63991625,10.9,0.475,0.5,1.2,7,0,1.25,0,no
0.164683483,0.056324861,2.058197,26.05,16.675,17,6,4,1,2.75,0,no
0.009584044,0.167508076,1.6799425,18.65,11.75,3.5,3.4,10,0,4,0,no
