Understat_ID, FPL_ID, Understat_Name, FPL_Name,
3294,269,Edinson Cavani,Edinson Cavani,
546,270,David de Gea,David de Gea,
697,271,Nemanja Matic,Nemanja Matic,
1740,272,Paul Pogba,Paul Pogba,
1687,273,Harry Maguire,Harry Maguire,
6817,274,Fred,Frederico Rodrigues de Paula Santos,
1006,275,Luke Shaw,Luke Shaw,
558,276,Jesse Lingard,Jesse Lingard,
1228,277,Bruno Fernandes,Bruno Miguel Borges Fernandes,
553,278,Anthony Martial,Anthony Martial,
1828,279,,,
7702,280,,,
556,281,,,
8821,282,Donny van de Beek,Donny van de Beek,
934,283,Axel Tuanzebe,Axel Tuanzebe,
6080,284,Victor Lindelöf,Victor Lindelöf,
5560,285,Scott McTominay,Scott McTominay,
1739,286,,,
5595,287,Daniel James,Daniel James,
5584,288,Aaron Wan-Bissaka,Aaron Wan-Bissaka,
7490,289,Mason Greenwood,Mason Greenwood,
8075,290,Brandon Williams,Brandon Williams,
769,291,Jonjo Shelvey,Jonjo Shelvey,
461,292,Matt Ritchie,Matt Ritchie,
875,293,Ciaran Clark,Ciaran Clark,
780,294,Karl Darlow,Karl Darlow,
6532,295,,,
468,296,Callum Wilson,Callum Wilson,
1746,297,Jeff Hendrick,Jeff Hendrick,
1683,298,Ryan Fraser,Ryan Fraser,
766,299,Jamaal Lascelles,Jamaal Lascelles,
743,300,Dwight Gayle,Dwight Gayle,
853,301,,,
1719,302,Javier Manquillo,Javier Manquillo,
1545,303,Emil Krafth,Emil Krafth,
6063,304,Jacob Murphy,Jacob Murphy,
76,305,Fabian Schär,Fabian Schär,
6062,306,Isaac Hayden,Isaac Hayden,
101,307,Allan Saint-Maximin,Allan Saint-Maximin,
7420,308,Miguel Almirón,Miguel Almirón,
7078,309,Sean Longstaff,Sean Longstaff,
87,310,Joelinton,Joelinton Cássio Apolinário de Lira,
7691,311,Jamal Lewis,Jamal Lewis,
8016,312,,,
8022,313,,,
982,314,Tim Krul,Tim Krul,
7696,315,Teemu Pukki,Teemu Pukki,
7694,316,,,
62,317,Lukas Rupp,Lukas Rupp,
7693,318,Kenny McLean,Kenny McLean,
7690,319,Grant Hanley,Grant Hanley,
7697,320,,,
902,321,,,
6526,322,,,
1032,323,Kieran Dowell,Kieran Dowell,
7990,324,,,
7695,325,Todd Cantwell,Todd Cantwell,
7688,326,Max Aarons,Max Aarons,
8021,329,Adam Idah,Adam Idah,
8455,330,,,
