name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Jean-Philippe Gbamin,0.0,0.0,1.19794075,0.0,0.0,0.0,0.0,6,0,0.0
Jarrad Branthwaite,0.2916556689888239,0.0,1.19794075,3.4,0.225,1.75,0.55,6,0,0.0
Andy Lonergan,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0
Salomón Rondón,0.30305381771177053,0.07312541082501411,1.19794075,1.8,0.675,9.5,1.2,6,0,0.5
Lewis Dobbin,0.0,0.0,1.19794075,0.0,0.0,0.0,0.0,6,0,0.0
Charlie Whitaker,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0
Harry Tyrer,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0
Cenk Tosun,0.0,0.0,1.19794075,0.0,0.0,0.0,0.0,6,0,0.0
Reece Welch,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0
Tyler Onyango,0.010572065909703573,0.0,1.19794075,0.3,0.0,4.5,0.475,6,0,0.25
Nathan Patterson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,6,0,0.0
Vitalii Mykolenko,0.0,0.0,1.19794075,4.8,1.675,1.0,0.75,6,0,0.25
Kasper Schmeichel,0.0,0.0,2.229882,34.45,0.25,0.0,3.475,7,0,2.5
Marc Albrighton,0.0,0.0,2.229882,8.55,0.775,0.0,0.95,7,0,1.25
Nampalys Mendy,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0
Danny Ward,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0
Ricardo Domingos Barbosa Pereira,0.0787585899233818,0.017337327357381582,2.229882,14.1,3.175,9.25,2.65,7,0,1.5
Daniel Amartey,0.0,0.018451809883117676,2.229882,19.65,2.775,0.5,2.3,7,0,1.0
Youri Tielemans,0.2472121138125658,0.04704248160123825,2.229882,22.700000000000003,12.4,16.5,5.175000000000001,7,0,3.5
Ayoze Pérez,0.044723059982061386,0.014583515003323555,2.229882,0.0,0.0,0.0,0.0,7,0,0.25
James Maddison,0.32206052355468273,0.04152607871219516,2.229882,18.7,16.1,34.75,6.949999999999999,7,0,4.25
Kelechi Iheanacho,0.28823323734104633,0.20008040312677622,2.229882,0.0,0.2,2.0,0.2,7,0,0.25
Hamza Choudhury,0.005056705791503191,0.0,2.229882,3.7,0.075,1.0,0.475,7,0,0.25
Harvey Barnes,0.2419935241341591,0.2279044920578599,2.229882,13.5,15.725000000000001,28.0,5.725,7,0,4.0
Wilfred Ndidi,0.014358868356794119,0.0,2.229882,11.1,1.15,0.25,1.25,7,0,1.0
Çaglar Söyüncü,0.006085820496082306,0.0,2.229882,15.100000000000001,0.675,1.0,1.6749999999999998,7,0,1.0
Luke Thomas,0.009130596183240414,0.0047881389036774635,2.229882,20.7,4.425,3.0,2.825,7,0,1.25
Jannik Vestergaard,0.0,0.0,2.229882,5.1,0.15,0.0,0.525,7,0,0.5
Patson Daka,0.402243047952652,0.011292265728116035,2.229882,18.6,6.875,21.75,4.7250000000000005,7,0,4.5
Boubakary Soumaré,0.030437042471021414,0.0,2.229882,1.3,0.725,1.75,0.375,7,0,0.75
Kiernan Dewsbury-Hall,0.018577927723526955,0.21451112627983093,2.229882,13.95,22.650000000000002,8.5,4.5,7,0,2.0
Eldin Jakupovic,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0
Ademola Lookman,0.14844506047666073,0.12069292366504669,2.229882,5.15,10.9,19.75,3.55,7,0,2.0
Ben Nelson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0
Lewis Brunt,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,0,0.0
Luke Ayling,0.02916852431371808,0.24802433419972658,1.9002125,22.75,6.55,6.0,3.525,8,1,2.0
Mateusz Klich,0.1111217699944973,0.013093166053295135,1.9002125,9.3,5.875,23.0,3.825,8,1,1.75
Rodrigo Moreno,0.07836150005459785,0.08258488867431879,1.9002125,12.7,20.875,17.0,5.075,8,1,2.75
Diego Llorente,0.14223472774028778,0.0,1.9002125,22.65,0.7250000000000001,9.25,3.275,8,1,2.25
Tyler Roberts,0.17957645282149315,0.055016014724969864,1.9002125,1.4500000000000002,0.4,1.0,0.30000000000000004,8,1,0.5
Robin Koch,0.0428170058876276,0.020421458408236504,1.9002125,9.25,6.25,11.75,2.725,8,1,1.0
Raphael Dias Belloli,0.062466660514473915,0.3735952745191753,1.9002125,12.85,37.525,18.0,6.825,8,1,2.75
Jamie Shackleton,0.0,0.0,1.9002125,0.0,0.0,0.0,0.0,8,1,0.0
Pascal Struijk,0.14009936153888702,0.004834294319152832,1.9002125,27.1,3.4499999999999997,15.25,4.6,8,1,2.0
Illan Meslier,0.0,0.0,1.9002125,23.85,0.0,0.0,2.375,8,1,2.0
Jack Harrison,0.34321372024714947,0.0970230270177126,1.9002125,40.75,29.75,31.5,10.225,8,1,6.5
Daniel James,0.596691326238215,0.0,1.9002125,17.5,2.1,45.75,6.4750000000000005,8,1,4.0
Kristoffer Klaesson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0
Crysencio Summerville,0.08059780579060316,0.003431848715990782,1.9002125,0.0,0.0,0.0,0.0,8,1,0.0
Adam Forshaw,0.0,0.029411572962999344,1.9002125,5.75,5.95,0.5,1.2249999999999999,8,1,1.5
Charlie Cresswell,0.0,0.0,1.9002125,0.0,0.0,0.0,0.0,8,1,0.0
Liam McCarron,0.0,0.0,1.9002125,0.0,0.0,0.0,0.0,8,1,0.0
Joe Gelhardt,0.020135466009378433,0.11613696068525314,1.9002125,0.5,0.125,0.5,0.125,8,1,0.25
Nohan Kenneh,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0
Stuart McKinstry,0.0,0.0,1.9002125,0.0,0.0,0.0,0.0,8,1,0.0
Leo Fuhr Hjelde,0.0,0.011870778165757656,1.9002125,11.4,3.2,0.5,1.525,8,1,0.5
Lewis Bate,0.0,0.0,1.9002125,1.2,0.45,0.0,0.175,8,1,0.25
Jack Jenkins,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0
Kris Moore,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0
Archie Gray,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0
James Milner,0.0,0.019376015290617943,0.9271425,1.2000000000000002,2.975,0.0,0.425,2,1,0.75
Jordan Henderson,0.05006652697920799,0.026142545510083437,0.9271425,6.6,12.3,6.5,2.575,2,1,1.25
Adrián San Miguel del Castillo,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Joel Matip,0.051753331907093525,0.12625994952395558,0.9271425,23.75,9.525,17.5,5.075,2,1,6.25
Thiago Alcántara do Nascimento,0.023770920932292938,0.034272825345396996,0.9271425,5.7,2.2,0.25,0.825,2,1,1.0
Alex Oxlade-Chamberlain,0.1489935852587223,0.07589603401720524,0.9271425,18.5,13.524999999999999,19.5,5.175000000000001,2,1,3.5
Roberto Firmino,0.08291472680866718,0.16344702243804932,0.9271425,10.5,10.424999999999999,25.5,4.6499999999999995,2,1,2.0
Virgil van Dijk,0.07321114372462034,0.0,0.9271425,23.200000000000003,1.05,19.5,4.375,2,1,7.5
Sadio Mané,0.5974698327481747,0.2743597533553839,0.9271425,1.85,6.175,11.5,1.95,2,1,0.75
Alisson Ramses Becker,0.0,0.0,0.9271425,24.4,0.0,0.0,2.425,2,1,6.25
