name,pos,prediction,confidence_score
Gabriel Fernando de Jesus,FWD,1:no,0.999
Liam Delap,FWD,1:no,0.999
Chris Wood,FWD,1:no,0.982
Dwight Gayle,FWD,1:no,0.998
Allan Saint-Maximin,FWD,1:no,0.991
Joelinton Cássio Apolinário de Lira,FWD,1:no,0.998
Teemu Pukki,FWD,2:return,0.898
Che Adams,FWD,1:no,0.525
Shane Long,FWD,1:no,0.997
Adam Armstrong,FWD,1:no,0.999
Harry Kane,FWD,2:return,0.932
Dane Scarlett,FWD,1:no,0.998
João Pedro Junqueira de Jesus,FWD,1:no,0.98
Emmanuel Dennis,FWD,1:no,0.919
Joshua King,FWD,1:no,0.992
Juan Camilo Hernández Suárez,FWD,2:return,0.857
Michail Antonio,FWD,1:no,0.614
Fabio Silva,FWD,1:no,0.974
Hee-Chan Hwang,FWD,1:no,0.98
