name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Tyler Onyango,MID,0.010572066,0,1.66179375,0,0,0,0,9,0,0,?
Tyler Onyango,MID,0.010572066,0,1.66179375,0,0,0,0,1,0,0,?
Nampalys Mendy,MID,0,0,1.961835,5.45,1.375,0,0.7,8,0,1.25,?
Youri Tielemans,MID,0.065392761,0.033817736,1.961835,9.35,4.475,4.5,1.85,8,0,2,?
Ayoze Pérez,MID,0.04472306,0.014583515,1.961835,0,0,0,0,8,0,0,?
James Maddison,MID,0.074038272,0.178304866,1.961835,23.95,20.45,6.5,5.1,8,0,4.5,?
Hamza Choudhury,MID,0.005056706,0,1.961835,1.3,0.1,0,0.15,8,0,0.75,?
Harvey Barnes,MID,0.308562808,0.107072137,1.961835,24.45,12.15,49,8.575,8,0,5.75,?
Boubakary Soumaré,MID,0.024982348,0,1.961835,1,0.075,0,0.1,8,0,0.25,?
Kiernan Dewsbury-Hall,MID,0.081460183,0.121513328,1.961835,13,19.775,10.75,4.375,8,0,2.25,?
Ademola Lookman,MID,0.277291615,0.080640525,1.961835,4.1,5.85,4.5,1.45,8,0,0.5,?
Mateusz Klich,MID,0,0.037631694,1.06856475,10.95,8.525,1,2.05,6,1,1.5,?
Stuart Dallas,MID,0,0.150938295,1.06856475,18.8,17.475,1,3.725,6,1,2,?
Kalvin Phillips,MID,0.036779562,0.008979249,1.06856475,0,0,0,0,6,1,0,?
Raphael Dias Belloli,MID,0.512980789,0.440618016,1.06856475,13.2,24.675,27.75,6.575,6,1,2,?
Jack Harrison,MID,0.206003847,0.242779225,1.06856475,21.45,30.1,23,7.425,6,1,2.75,?
Daniel James,MID,0.275757913,0.265117189,1.06856475,9.9,18.125,24.25,5.225,6,1,2.25,?
Crysencio Summerville,MID,0.080597806,0.003431849,1.06856475,0,0,0,0,6,1,0,?
Adam Forshaw,MID,0,0.005174581,1.06856475,9.65,6.925,1,1.775,6,1,1.25,?
Liam McCarron,MID,0,0,1.06856475,0,0,0,0,6,1,0,?
Stuart McKinstry,MID,0,0,1.06856475,0,0,0,0,6,1,0,?
James Milner,MID,0.008163227,0.033498328,0.6608545,1.45,3.725,2,0.7,1,1,0.75,?
Jordan Henderson,MID,0.022114189,0.154312124,0.6608545,10.75,12.7,4.25,2.775,1,1,3.25,?
Thiago Alcántara do Nascimento,MID,0.005433991,0.165504407,0.6608545,13.4,11.95,0.5,2.6,1,1,2.5,?
Alex Oxlade-Chamberlain,MID,0.184300978,0.075896034,0.6608545,0,0,0,0,1,1,0,?
Sadio Mané,MID,0.649971997,0.097019482,0.6608545,34.3,25.725,50,11.025,1,1,8.25,?
Fabio Henrique Tavares,MID,0.109098934,0.00504006,0.6608545,9.75,5.575,2.5,1.775,1,1,2.75,?
Mohamed Salah,MID,1.046906993,0.173348177,0.6608545,34,14.575,73.25,12.175,1,1,7.75,?
Takumi Minamino,MID,0.16104345,0.122780286,0.6608545,0,0,0,0,1,1,0,?
Diogo Jota,MID,0.054796122,0.004143392,0.6608545,9.4,1.025,6.5,1.65,1,1,1.75,?
Curtis Jones,MID,0.063053711,0.049945144,0.6608545,5.35,3.675,11.5,2.05,1,1,1.25,?
Harvey Elliott,MID,0.120205201,0.107228771,0.6608545,0,0,0,0,1,1,0,?
Tyler Morton,MID,0,0,0.6608545,0,0,0,0,1,1,0,?
Kaide Gordon,MID,0.491121143,0,0.6608545,0,0,0,0,1,1,0,?
Luis Díaz,MID,0.293630861,0.105212838,0.6608545,15.15,17.3,40.5,7.325,1,1,3.75,?
Jack Grealish,MID,0.084999623,0.366727716,0.90223825,5.65,21.475,21,4.8,1,0,1,?
Ilkay Gündogan,MID,0.283909813,0.361805947,0.90223825,17.35,14.825,16.5,4.9,1,0,3.5,?
Kevin De Bruyne,MID,0.298526343,0.337894827,0.90223825,36.65,44.65,40.5,12.175,1,0,6.5,?
Riyad Mahrez,MID,0.497540083,0,0.90223825,27.95,7.45,48,8.35,1,0,6,?
Raheem Sterling,MID,0.756810889,0.09924606,0.90223825,2.25,8.975,12,2.325,1,0,1.25,?
Bernardo Mota Veiga de Carvalho e Silva,MID,0.431484934,0.115109454,0.90223825,16.6,31.6,43.75,9.2,1,0,4.25,?
Phil Foden,MID,0.538407702,0.01312355,0.90223825,12.5,14.175,42,6.875,1,0,3.5,?
Rodrigo Hernandez,MID,0.051018232,0.077660622,0.90223825,19.3,19.775,13.5,5.25,1,0,2.5,?
Fernando Luiz Rosa,MID,0.195286008,0.185924483,0.90223825,0,0,0,0,1,0,0,?
James McAtee,MID,0.044324361,0,0.90223825,0,0,0,0,1,0,0,?
Nemanja Matic,MID,0,0.002293653,1.63750625,7.4,6.075,0,1.35,5,1,1.25,?
Paul Pogba,MID,0.041354802,0.429867457,1.63750625,10.25,20.925,10.25,4.15,5,1,2.75,?
Frederico Rodrigues de Paula Santos,MID,0.055567012,0.035457048,1.63750625,29.55,14.425,13.75,5.775,5,1,4,?
Jesse Lingard,MID,0.006679074,0.02215698,1.63750625,1.1,3.25,0,0.45,5,1,0.75,?
Bruno Miguel Borges Fernandes,MID,0.648735838,0.44241387,1.63750625,19.1,19.15,31.5,6.975,5,1,4.25,?
Marcus Rashford,MID,0,0.017671188,1.63750625,1.55,0.9,2.5,0.5,5,1,1,?
Scott McTominay,MID,0.031163783,0.032240115,1.63750625,9.75,0.625,0.5,1.1,5,1,0.75,?
Juan Mata,MID,0,0,1.63750625,0,0,0,0,5,1,0,?
Jadon Sancho,MID,0.126459234,0.395353898,1.63750625,29.45,22.25,27.5,7.925,5,1,6.5,?
Anthony Elanga,MID,0.32196331,0.113279052,1.63750625,15.2,7.75,16.5,3.95,5,1,3,?
Hannibal Mejbri,MID,0,0,1.63750625,0,0,0,0,5,1,0,?
Joseph Willock,MID,0.239282293,0.080019912,1.30695725,8.85,7.425,15,3.125,7,0,1.5,?
Jonjo Shelvey,MID,0.048473288,0.10730876,1.30695725,9.35,6.525,1.5,1.75,7,0,1.75,?
Ryan Fraser,MID,0.214167155,0.055717689,1.30695725,17.3,15.275,14.5,4.7,7,0,4.75,?
Jacob Murphy,MID,0.175283263,0.056114162,1.30695725,8.55,13.075,13.75,3.525,7,0,2,?
Miguel Almirón,MID,0.018500651,0.027180074,1.30695725,4.4,7.55,4.25,1.625,7,0,1.75,?
Sean Longstaff,MID,0.02086743,0,1.30695725,0.45,0.3,0.25,0.075,7,0,1,?
Billy Gilmour,MID,0.074156516,0.037458188,2.639405,7.7,15.55,4.75,2.775,6,0,1.25,?
